,uniprot,protein,iWAT_HF_cre-,iWAT_HF_cre+,iWAT_chow_cre-,iWAT_chow_cre+,eWAT_HF_cre-,eWAT_HF_cre+,eWAT_chow_cre-,eWAT_chow_cre+,ctrl_turbo(-),LPS_turbo(-),fast_turbo(-),ctrl_turbo(+),LPS_turbo(+),fast_turbo(+),description
1016,P12246,Apcs,,,,,,,,,16523.0,15721.0,13739.5,84204.0,23910.0,30696.5,Apcs Serum amyloid P-component
1017,P56371,Rab4a,,,,,,,,,23776.5,20404.5,23457.0,33876.0,23729.0,20456.5,Rab4a Ras-related protein Rab-4A
1018,P28271,Aco1,2014.25,5141.25,2152.0,4690.0,1337.0,2796.0,1446.0,5065.75,18165.0,15398.0,11068.75,15111.5,14907.0,13131.0,Aco1 Cytoplasmic aconitate hydratase
1019,Q9DBA6,Tysnd1,,,,,,,,,18932.5,19282.5,14792.75,17607.0,24517.5,19397.25,Tysnd1 Peroxisomal leader peptide-processing protease
1020,Q9Z1Q5,Clic1,2214.0,3593.5,1889.0,3250.75,2212.5,5616.5,1584.25,2956.25,21988.0,18543.5,16515.0,33033.0,19398.0,19626.0,Clic1 Chloride intracellular channel protein 1
1021,Q6NT99,Dusp23,6974.25,12564.0,8987.5,12171.0,3185.5,7113.5,4160.25,7826.0,52947.5,50728.25,36609.25,53389.5,57492.0,51081.75,Dusp23 Dual specificity protein phosphatase 23
1022,E9PV38,Ces2g,,,,,,,,,48323.5,38105.5,24260.5,27251.0,13720.0,13836.5,Ces2g Carboxylic ester hydrolase
1023,Q9CQF9,Pcyox1,1833.25,25552.0,1197.75,19992.0,1283.25,16514.0,1084.0,23128.75,62394.75,54821.75,40177.0,22004.0,9108.5,6808.25,Pcyox1 Prenylcysteine oxidase
1024,P24721,Asgr2,,,,,,,,,31586.75,27364.75,21945.0,21141.5,30422.5,20226.5,Asgr2 Asialoglycoprotein receptor 2
1025,E9QLQ7,Rab29,6567.5,10301.75,6952.25,6480.25,5227.5,13057.5,7457.0,9934.25,27875.0,22457.75,17947.75,26442.0,32327.0,20515.0,Rab29 Ras-related protein Rab-7L1
1026,P35980,Rpl18,8055.25,13983.5,4520.75,9397.5,6319.5,14772.5,4443.25,8687.5,85207.0,108728.0,99183.0,127403.0,76905.0,90532.5,Rpl18 60S ribosomal protein L18
1027,G3X972,Sec24c,2304.0,4861.5,1585.0,4142.0,1643.0,3904.5,1344.5,2991.0,19382.5,22560.5,17307.5,24121.0,24233.0,21632.5,"Sec24c SEC24 related gene family, member C (S. cerevisiae), isoform CRA_a"
1028,Q921G7,Etfdh,3275.0,6106.25,1950.5,4956.5,2437.25,4300.5,871.0,2160.0,32586.25,34574.25,22089.0,21979.0,29301.0,23135.5,"Etfdh Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial"
1029,P14576,Srp54,2546.0,22234.0,3535.25,10768.75,2224.5,16597.5,2200.5,12257.5,38669.5,34402.0,32530.75,41263.5,40610.0,32379.0,Srp54 Signal recognition particle 54 kDa protein
1030,P16301,Lcat,,,,,,,,,16208.25,17373.25,17006.5,18715.0,6650.0,4974.0,Lcat Phosphatidylcholine-sterol acyltransferase
