uniprot_id,description,pep_num,annotation,alb_turbo(+)_1,alb_turbo(+)_2,alb_turbo(+)_3,alb_turbo(-)_1,alb_turbo(-)_2,adip_turbo(+)_1,adip_turbo(+)_2,adip_turbo(+)_3,adip_turbo(-)_1,adip_turbo(-)_2,CD19_turbo(+)_1,CD19_turbo(+)_2,CD19_turbo(+)_3,CD19_turbo(+)_4,CD19_turbo(-)_1,CD19_turbo(-)_2
Q9EQ80,Nif3l1 NIF3-like protein 1,1,FP,36980.0,31023.0,41668.0,46573.0,24180.0,14142.0,12827.0,14592.0,7091.0,12150.0,3320.0,4251.0,4349.0,2040.0,1940.0,2831.0
Q91WA3,Hdac11 Histone deacetylase 11,1,FP,22250.0,17272.0,25577.0,34012.0,24421.0,4459.0,6277.0,3134.0,5266.0,5450.0,864.0,0.0,1103.0,2515.0,1046.0,720.0
Q80Z24,Negr1 Neuronal growth regulator 1,1,,42422.0,32873.0,47835.0,38791.0,35931.0,160472.0,459789.0,215286.0,25595.0,33389.0,3323.0,5592.0,7488.0,6212.0,2561.0,3098.0
Q99JW4,Lims1 LIM and senescent cell antigen-like-containing domain protein 1,1,,12565.0,11539.0,16007.0,12266.0,8768.0,16253.0,18916.0,10724.0,20272.0,21188.0,5395.0,15158.0,14042.0,8428.0,3850.0,6558.0
Q8R2R6,Mtg1 Mitochondrial ribosome-associated GTPase 1,1,FP,35639.0,30238.0,44981.0,47618.0,30443.0,14071.0,18301.0,9956.0,10011.0,10515.0,2426.0,2799.0,4206.0,2045.0,2274.0,2904.0
Q99MB2,Mtfr1 Mitochondrial fission regulator 1,1,FP,18429.0,11132.0,18043.0,18770.0,10784.0,1643.0,990.0,684.0,939.0,1635.0,0.0,0.0,0.0,0.0,0.0,0.0
A0A0R4J2B2,Kctd12 BTB/POZ domain-containing protein KCTD12,1,,29343.0,20746.0,30145.0,21034.0,13728.0,16876.0,38946.0,20787.0,28142.0,41694.0,1047.0,7904.0,7626.0,5917.0,1526.0,3051.0
Q9D0M3,"Cyc1 Cytochrome c1, heme protein, mitochondrial",1,FP,62872.0,45604.0,52244.0,61841.0,39538.0,60672.0,91164.0,57766.0,42099.0,68441.0,1525.0,5130.0,4220.0,3237.0,1387.0,3944.0
Q9CVB6,Arpc2 Actin-related protein 2/3 complex subunit 2,1,FP,108610.0,107192.0,100424.0,91944.0,45448.0,28085.0,60755.0,28424.0,24697.0,35634.0,33319.0,25799.0,41125.0,44942.0,27530.0,23005.0
Q8VHX6,Flnc Filamin-C,4,,109280.0,82318.0,79392.0,205773.0,51143.0,213585.0,316165.0,190867.0,230793.0,483392.0,11713.0,47961.0,95915.0,23767.0,11809.0,20919.0
Q8C3J5,Dock2 Dedicator of cytokinesis protein 2,4,,24675.0,23081.0,30228.0,27247.0,20641.0,24808.0,74733.0,33483.0,66721.0,62651.0,42410.0,75815.0,107897.0,53199.0,27593.0,37634.0
Q9QZQ1,Afdn Afadin,2,,55785.0,49119.0,74121.0,37876.0,33423.0,16723.0,21873.0,12773.0,14140.0,20284.0,2290.0,4650.0,4111.0,4409.0,2018.0,1123.0
Q5SV02,Rad50 DNA repair protein RAD50,3,,302782.0,272204.0,354063.0,304850.0,217892.0,132602.0,154832.0,99120.0,143470.0,154193.0,33299.0,57334.0,75529.0,58512.0,26562.0,40794.0
P42703,Lifr Leukemia inhibitory factor receptor,2,TP,123038.0,135567.0,132674.0,27398.0,24557.0,67662.0,102768.0,81618.0,14465.0,22739.0,4621.0,6050.0,5782.0,6007.0,901.0,4618.0
Q8K370,Acad10 Acyl-CoA dehydrogenase family member 10,2,,75349.0,46854.0,93903.0,52990.0,39742.0,23042.0,21207.0,14035.0,17610.0,27789.0,1573.0,4753.0,2480.0,3784.0,2012.0,2888.0
Q80V86,Ints8 Integrator complex subunit 8,2,FP,109795.0,90159.0,131287.0,125275.0,73181.0,32216.0,46259.0,36180.0,36030.0,37304.0,16519.0,22472.0,31810.0,33627.0,12342.0,14763.0
Q5SV80,Myo19 Unconventional myosin-XIX,2,FP,56732.0,46353.0,63591.0,56669.0,36207.0,23682.0,30046.0,23649.0,23398.0,30162.0,4894.0,8034.0,9514.0,8241.0,3312.0,5037.0
Q6KAR6,Exoc3 Exocyst complex component 3,2,,54749.0,35306.0,53936.0,51164.0,29813.0,17459.0,28035.0,17897.0,17182.0,27508.0,2564.0,6457.0,8717.0,4929.0,2615.0,5689.0
Q504M2,Pdp2 Protein Pdp2,1,,11642.0,7408.0,13002.0,10571.0,10787.0,10075.0,9531.0,8512.0,7417.0,9183.0,475.0,1880.0,1988.0,2008.0,797.0,1892.0
Q8CCF0,Prpf31 U4/U6 small nuclear ribonucleoprotein Prp31,1,FP,23306.0,20243.0,26694.0,17513.0,14545.0,13210.0,20596.0,8240.0,22066.0,10196.0,7831.0,14283.0,15061.0,13178.0,6834.0,8178.0
P27808,"Mgat1 Alpha-1,3-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase",1,,21351.0,19518.0,23256.0,13056.0,9160.0,10137.0,16690.0,13214.0,6334.0,6132.0,4963.0,4908.0,6810.0,8870.0,999.0,2536.0
Q6PAC3,Dcaf13 DDB1- and CUL4-associated factor 13,1,FP,24018.0,16356.0,28171.0,17508.0,15644.0,11198.0,18686.0,10061.0,15287.0,16141.0,4168.0,4782.0,6860.0,5440.0,2133.0,2763.0
Q9WVS7,Map2k5 Dual specificity mitogen-activated protein kinase kinase 5,1,,45621.0,42074.0,52479.0,46193.0,27456.0,20438.0,23694.0,9973.0,19340.0,20242.0,4602.0,5563.0,7193.0,5396.0,2973.0,4051.0
Q80YW0,Cyth4 Cytohesin-4,1,,26681.0,25179.0,30555.0,32385.0,26080.0,49812.0,97179.0,53630.0,74954.0,94013.0,28518.0,43206.0,68570.0,34405.0,25599.0,32268.0
Q9ER88,"Dap3 28S ribosomal protein S29, mitochondrial",1,FP,52082.0,39736.0,46346.0,45338.0,27151.0,30987.0,31656.0,23655.0,21655.0,30609.0,3197.0,9416.0,15047.0,5383.0,4390.0,5140.0
Q99J10,Ctu1 Cytoplasmic tRNA 2-thiolation protein 1,1,,39908.0,35686.0,41770.0,50342.0,28089.0,17110.0,19462.0,12915.0,19901.0,20029.0,11782.0,11806.0,16620.0,20661.0,7590.0,14759.0
Q8R0F6,Ilkap Integrin-linked kinase-associated serine/threonine phosphatase 2C,1,,13011.0,10816.0,13688.0,10464.0,8991.0,6660.0,9812.0,5740.0,7629.0,8496.0,1856.0,3675.0,1238.0,2371.0,1105.0,1718.0
Q91VY6,Cytip Cytohesin-interacting protein,1,,10909.0,8509.0,14993.0,8733.0,11042.0,7478.0,19883.0,4421.0,20330.0,10977.0,11086.0,18205.0,27995.0,14837.0,8779.0,9052.0
Q8CES0,Naa30 N-alpha-acetyltransferase 30,1,FP,12685.0,10492.0,14729.0,10419.0,8220.0,3556.0,5408.0,3632.0,5666.0,5897.0,921.0,2643.0,2655.0,1347.0,936.0,1342.0
