uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,ctrl_turbo(-)_1,ctrl_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2
Q99KK7,Dpp3 Dipeptidyl peptidase 3,1,,14224.0,11993.0,15679.0,10333.0,9570.0,11133.0,12633.0,11010.0,16259.0,12876.0,12241.0,17701.0,13887.0,11594.0,7880.0,11285.0
Q6P9R2,Oxsr1 Serine/threonine-protein kinase OSR1,2,,85347.0,113136.0,127323.0,64682.0,55063.0,86102.0,94410.0,74504.0,149623.0,130768.0,75832.0,105916.0,117857.0,82464.0,57641.0,71903.0
Q6P9N1,Fam126a Hyccin,1,,6976.0,6756.0,7951.0,7529.0,6183.0,9081.0,10649.0,8510.0,12725.0,13771.0,8556.0,10562.0,6734.0,8527.0,4091.0,9013.0
Q8VCH8,Ubxn4 UBX domain-containing protein 4,1,TP,42720.0,35655.0,37668.0,31480.0,21180.0,37921.0,46129.0,39615.0,73289.0,66599.0,28249.0,52609.0,46128.0,38323.0,31382.0,37688.0
G5E894,"Slc17a3 Solute carrier family 17 (Sodium phosphate), member 3, isoform CRA_c",1,,31038.0,40272.0,42964.0,32393.0,24595.0,46735.0,37645.0,23253.0,52215.0,40016.0,36026.0,55189.0,52596.0,36630.0,26580.0,25098.0
Q9Z1Y4,Trip6 Thyroid receptor-interacting protein 6,1,FP,7736.0,8816.0,7249.0,9276.0,3572.0,7574.0,11094.0,8318.0,14139.0,9643.0,7510.0,9053.0,7507.0,5686.0,6124.0,7178.0
Q99N87,"Mrps5 28S ribosomal protein S5, mitochondrial",1,FP,28718.0,29401.0,34121.0,20022.0,19187.0,38019.0,32956.0,24450.0,44202.0,38153.0,24270.0,37332.0,43755.0,28761.0,21483.0,25242.0
Q8R1J1,Tm6sf2 Transmembrane 6 superfamily member 2,1,TP,76402.0,64274.0,106186.0,14581.0,42959.0,42505.0,57105.0,41721.0,79914.0,102306.0,44230.0,50071.0,48266.0,39207.0,31003.0,36925.0
Q9D0D4,Dimt1 Probable dimethyladenosine transferase,1,FP,17307.0,14704.0,22004.0,13279.0,16216.0,21151.0,30168.0,25187.0,40841.0,34971.0,16692.0,20274.0,32477.0,26752.0,13706.0,23593.0
Q8JZZ6,Ammecr1l AMMECR1-like protein,1,,25120.0,28902.0,41388.0,19561.0,16204.0,26805.0,38157.0,26059.0,47488.0,46748.0,29155.0,27141.0,35425.0,25281.0,20007.0,21884.0
Q9CX30,Yif1b Protein YIF1B,1,TP,17159.0,18212.0,27786.0,11182.0,7361.0,10526.0,14149.0,10564.0,21382.0,20588.0,16935.0,20111.0,16317.0,12351.0,10757.0,10101.0
Q9CY28,Gtpbp8 GTP-binding protein 8,1,,11302.0,9860.0,10597.0,12347.0,8478.0,10972.0,10029.0,8775.0,12516.0,8564.0,11327.0,16871.0,11186.0,7027.0,5957.0,9233.0
Q9JJW0,Pxmp4 Peroxisomal membrane protein 4,1,,644164.0,809454.0,1002949.0,589388.0,352698.0,779033.0,666769.0,646437.0,1348066.0,1083410.0,682111.0,1120029.0,824694.0,748648.0,410782.0,475164.0
A0A0J9YUD5,Nup205 Protein Nup205,6,,117582.0,150735.0,152288.0,168257.0,99794.0,199419.0,150835.0,133942.0,273977.0,226404.0,184613.0,205647.0,196650.0,143518.0,105550.0,115213.0
Q8R151,Znfx1 NFX1-type zinc finger-containing protein 1,4,FP,63560.0,54814.0,97480.0,43989.0,42465.0,55006.0,83393.0,63406.0,117197.0,94478.0,57373.0,81548.0,90061.0,68295.0,46532.0,76754.0
Q8VD65,Pik3r4 Phosphoinositide 3-kinase regulatory subunit 4,4,,208780.0,231326.0,290076.0,179271.0,142796.0,224245.0,258847.0,201215.0,356183.0,314009.0,227469.0,302437.0,306181.0,199052.0,149680.0,223000.0
