File name ,Channel name,Condition name 
processed_census-out_20240915_CRW_B25D,tag_130.141145,iWAT_HFD_cre-_1
processed_census-out_20240915_CRW_B25D,tag_131.13818,iWAT_HFD_cre-_2
processed_census-out_20240915_CRW_B25D,tag_131.1445,iWAT_HFD_cre-_3
processed_census-out_20240915_CRW_B25D,tag_132.141535,iWAT_HFD_cre+_1
processed_census-out_20240915_CRW_B25D,tag_132.147855,iWAT_HFD_cre+_2
processed_census-out_20240915_CRW_B25D,tag_133.14489,iWAT_HFD_cre+_3
processed_census-out_20240915_CRW_B25D,tag_133.15121,iWAT_HFD_cre+_4
processed_census-out_20240915_CRW_B25D,tag_134.148245,iWAT_HFD_cre+_5
,,
processed_census-out_20240917_CRW_B30,tag_126.127726,chow_cre-_1
processed_census-out_20240917_CRW_B30,tag_127.124761,chow_cre-_2
processed_census-out_20240917_CRW_B30,tag_127.131081,chow_cre-_3
processed_census-out_20240917_CRW_B30,tag_128.128116,chow_cre+_1
processed_census-out_20240917_CRW_B30,tag_128.134436,chow_cre+_2
processed_census-out_20240917_CRW_B30,tag_129.131471,chow_cre+_3
processed_census-out_20240917_CRW_B30,tag_129.13779,chow_cre+_4
processed_census-out_20240917_CRW_B30,tag_130.134825,chow_cre+_5
processed_census-out_20240917_CRW_B30,tag_130.141145,HFD_cre-_1
processed_census-out_20240917_CRW_B30,tag_131.13818,HFD_cre-_2
processed_census-out_20240917_CRW_B30,tag_131.1445,HFD_cre-_3
processed_census-out_20240917_CRW_B30,tag_132.141535,HFD_cre+_1
processed_census-out_20240917_CRW_B30,tag_132.147855,HFD_cre+_2
processed_census-out_20240917_CRW_B30,tag_133.14489,HFD_cre+_3
processed_census-out_20240917_CRW_B30,tag_133.15121,HFD_cre+_4
processed_census-out_20240917_CRW_B30,tag_134.148245,HFD_cre+_5
