ID #,Uniprot Accession,Entrez ID,Protein Names,Gene Names,Log2 SILAC Ratio (Mito/Negative Control) Rep1,Rep1 Unique Quantified Peptide Count,Log2 SILAC Ratio (Mito/Negative Control) Rep2,Rep2 Unique Quantified Peptide Count,GOCC annotation,MitoCarta FDR,mito,evidence for mito,matrix,IMS,OMM,False-positive,Note
2684,P36551,1371,"Coproporphyrinogen-III oxidase, mitochondrial",CPO;CPOX;CPX,1.912940541,10,2.138791196,12,mitochondrion | mitochondrial intermembrane space | cytoplasm,0,1,GOCC; MitoCarta,0,1,0,0,-
3455,Q15031;E9PHM2,23395,"Leucine--tRNA ligase;Probable leucyl-tRNA synthetase, mitochondrial",KIAA0028;LARS2,1.912083219,46,1.845377514,48,mitochondrion | mitochondrial matrix | cytoplasm,0,1,GOCC; MitoCarta,1,0,0,0,-
3850,Q6P1L8,64928,"39S ribosomal protein L14, mitochondrial;39S ribosomal protein L32, mitochondrial",MRPL14;MRPL32;RPML32,1.911326336,6,1.791965434,8,mitochondrion | ribosome | intracellular,0,1,GOCC; MitoCarta,1,0,0,0,-
5052,Q9H845;F8WAN8;H0Y8Z9,28976,"Acyl-CoA dehydrogenase family member 9, mitochondrial",ACAD9,1.911225388,36,1.958181727,36,mitochondrion,0,1,GOCC; MitoCarta,0,0,0,0,-
3667,Q5JPH6,124454,"Glutamate--tRNA ligase;Probable glutamyl-tRNA synthetase, mitochondrial",EARS2;KIAA1970,1.910114496,24,1.861279482,26,mitochondrion | mitochondrial matrix | cytoplasm,0.029,1,GOCC; MitoCarta,1,0,0,0,-
4883,Q9BXW7;Q9BXW7-2,27440,Cat eye syndrome critical region protein 5,CECR5,1.905611684,19,1.970187949,24,mitochondrion,0.029,1,GOCC; MitoCarta,0,0,0,0,-
4345,Q8WV93;H0Y5F4,246269,Lactation elevated protein 1,AFG1;LACE1,1.905256933,6,1.562398533,7,mitochondrion,0,1,GOCC; MitoCarta,0,0,0,0,-
1239,E9PI62;Q9BT17;E7EVK2,92170,GTP-binding protein 7;Mitochondrial GTPase 1,GTPBP7;MTG1,1.904192157,4,1.776901027,5,mitochondrion | intracellular,0.029,1,GOCC; MitoCarta,0,0,0,0,-
1584,F8WEC0;Q9H3L0,27249,"Methylmalonic aciduria and homocystinuria type D protein, mitochondrial",C2orf25;CL25022;HSPC161;MMADHC;My011,1.899212786,5,2.340239787,4,mitochondrion,0.372,1,GOCC,0,0,0,0,-
5242,Q9NVV4,55149,"mtPAP;PAP-associated domain-containing protein 1;Poly(A) RNA polymerase, mitochondrial;Polynucleotide adenylyltransferase;Terminal uridylyltransferase 1",MTPAP;PAPD1,1.88468494,3,2.026701607,3,mitochondrion | cytoplasm,0.029,1,GOCC; MitoCarta,0,0,0,0,-
