uniprot,description,pep_num,tag_126.127726,tag_127.124761,tag_127.131081,tag_128.128116,tag_128.134436,tag_129.131471,tag_129.13779,tag_130.134825,tag_130.141145,tag_131.13818,tag_131.1445,tag_132.141535,tag_132.147855,tag_133.14489,tag_133.15121,tag_134.148245
O54749,Cyp2j5 Cytochrome P450 2J5,18,39367.5,50626.0,51999.0,32174.5,26709.0,43543.0,36449.5,31764.5,46988.0,44892.0,41350.5,53902.5,49613.5,30473.0,31207.5,32752.5
Q8VC81,Pla2g12b Group XIIB secretory phospholipase A2-like protein,9,32969.0,61505.0,62175.0,18079.0,25696.0,41004.0,24797.0,21651.0,79506.0,83194.0,528.0,7884.0,2073.0,913.0,0.0,781.0
P01027,C3 Complement C3,77,49197.5,57016.5,58165.5,16373.0,24675.5,25237.0,51727.0,44855.5,95891.5,117455.5,9035.5,16113.0,10873.5,9446.5,11321.5,14502.0
P62242,Rps8 40S ribosomal protein S8,11,50598.5,48954.5,94477.5,27924.0,54913.0,45462.5,69881.0,64664.0,109304.0,93393.0,34734.5,40263.0,103582.5,82237.5,42651.0,62429.0
P52760,Hrsp12 Ribonuclease UK114,5,25125.5,16179.5,12092.0,12955.0,5638.5,11121.0,10663.0,17224.5,12098.0,14758.0,10090.5,12646.0,23941.0,11989.5,6639.0,15518.5
P28665,Mug1 Murinoglobulin-1,29,51636.0,70165.0,74129.0,52835.0,61814.0,111673.0,42402.0,34769.0,52214.0,59885.0,7502.0,13471.0,16940.0,8961.0,5596.0,8549.0
P35979,Rpl12 60S ribosomal protein L12,5,43096.5,38703.0,76823.5,29143.5,29655.0,63125.0,68720.0,50046.0,81904.0,66226.0,30631.0,38311.0,115649.5,50402.0,39548.5,58050.0
P62900,Rpl31 60S ribosomal protein L31,6,38798.0,35279.0,71225.0,19016.0,37970.0,40839.0,64010.0,48188.0,90733.0,74369.0,25599.0,35128.0,70093.0,60014.0,39493.0,51727.0
Q91YQ5,Rpn1 Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 1,22,34399.0,44535.0,49907.5,27804.0,22568.5,39015.5,30400.5,24984.0,50738.0,45972.5,17493.0,28264.5,30721.5,19713.0,15855.0,21773.5
O88587,Comt Catechol O-methyltransferase,13,21702.0,31715.0,27284.0,15645.0,14179.0,17467.0,24752.0,19288.0,27145.0,30561.0,21249.0,33237.0,18327.0,15815.0,15779.0,21401.0
Q3TMX5,Manf Mesencephalic astrocyte-derived neurotrophic factor,6,73132.5,106711.5,95447.0,30233.0,32539.0,62854.0,28498.0,16023.0,102096.5,87562.0,7073.5,12150.5,8355.5,9864.0,4357.5,4879.0
P32020,Scp2 Non-specific lipid-transfer protein,25,38092.0,35923.0,29474.0,31281.0,15748.0,40187.0,25736.0,24454.0,34523.0,36133.0,32374.0,45707.0,39571.0,25982.0,19551.0,19856.0
Q9CR62,Slc25a11 Mitochondrial 2-oxoglutarate/malate carrier protein,13,37698.0,38691.0,46656.0,26190.0,30569.0,35726.0,49969.0,43537.0,42813.0,48659.0,38233.0,48014.0,48138.0,40019.0,26041.0,42949.0
A0A140T8V3,Vdac3-ps1 Protein Vdac3-ps1,13,18622.0,16481.0,65928.0,14012.0,20137.0,18762.0,33898.0,21473.0,44264.0,31980.0,20145.0,33300.0,43042.0,30084.0,13799.0,31744.0
P08249,"Mdh2 Malate dehydrogenase, mitochondrial",15,50820.0,41728.0,31341.0,30373.0,13852.0,31904.5,27036.5,32301.5,43799.0,36413.0,26362.5,34602.0,41716.0,23842.5,23806.0,22249.5
Q9WUZ9,Entpd5 Ectonucleoside triphosphate diphosphohydrolase 5,17,68303.0,124621.0,100682.0,50149.0,37908.0,68454.0,23819.0,19058.0,62253.0,65880.0,10334.0,13967.0,17421.0,13781.0,8069.0,7283.0
P11725,"Otc Ornithine carbamoyltransferase, mitochondrial",16,55032.5,58861.5,55403.0,38460.0,26968.0,55213.5,47461.5,51401.5,53459.0,59558.5,47713.0,65824.0,73206.5,39242.0,33706.0,45574.0
Q921H8,"Acaa1a 3-ketoacyl-CoA thiolase A, peroxisomal",4,39651.0,39764.0,32042.0,22571.0,13652.0,37675.0,26004.0,23585.0,26933.0,37553.0,32250.0,43638.0,42145.0,27359.0,19244.0,13022.0
Q8BGC4,Zadh2 Prostaglandin reductase-3,16,87550.0,83139.0,91614.0,61594.0,47650.0,76607.0,63667.0,58416.0,104354.0,85392.0,77239.0,97156.0,84000.0,79956.0,48254.0,52364.0
P61750,Arf4 ADP-ribosylation factor 4,2,16318.0,23249.0,18913.0,12923.0,10184.0,10752.0,24678.0,18314.0,31733.0,33377.0,18605.0,24892.0,11073.0,14984.0,16024.0,18456.0
Q9JKR6,Hyou1 Hypoxia up-regulated protein 1,42,42487.0,64836.0,71836.0,18369.0,23651.0,37010.0,27160.0,19657.0,64463.0,75169.0,7406.0,12996.0,11443.0,9231.0,7481.0,9609.0
Q4LDG0,Slc27a5 Bile acyl-CoA synthetase,27,45694.0,38706.5,46625.5,27225.0,28885.0,37445.0,40313.0,32649.5,48290.0,52250.5,34612.5,47601.0,45133.5,34137.5,28540.5,35354.5
Q64458,Cyp2c29 Cytochrome P450 2C29,10,37805.0,42527.0,36988.5,15637.5,17751.5,17444.0,21431.0,16429.0,25731.5,22148.0,34197.5,48307.0,19736.0,22765.5,20211.0,17725.5
Q9DB20,"Atp5o ATP synthase subunit O, mitochondrial",9,35847.0,34880.0,45502.0,24541.0,28184.0,38085.0,33692.0,31255.0,31152.0,38436.0,26909.0,37794.0,43622.0,29214.0,22884.0,33087.0
Q9QZE5,Copg1 Coatomer subunit gamma-1,28,25316.5,26272.5,32993.0,19997.5,18470.0,24288.5,38969.0,29515.0,49026.5,44623.0,27112.0,33780.0,34906.5,25747.0,22535.0,31950.0
P08113,Hsp90b1 Endoplasmin,35,55455.0,73893.0,78485.0,24753.0,27400.5,42988.0,37993.5,27224.0,80497.5,81513.5,11227.5,22601.0,17777.0,10605.0,13203.0,16122.5
E9QNL5,Sult1a1 Sulfotransferase,10,84553.0,77554.5,82062.5,60656.0,62557.0,68708.5,53465.0,46653.5,83074.5,73539.5,66389.5,56431.5,78137.5,67500.5,26644.0,32640.0
Q9JJI8,Rpl38 60S ribosomal protein L38,5,80791.0,96176.0,113774.0,50703.0,65196.0,92697.0,124225.0,86050.0,178238.0,155734.0,68077.0,97444.0,125616.0,106788.0,79135.0,80610.0
Q9Z2I8,Suclg2 Succinate--CoA ligase,20,68053.0,59006.0,52638.0,32565.0,33729.0,38532.0,32913.0,36998.0,47828.0,44279.0,45257.0,66974.0,49599.0,34997.0,27037.0,28920.0
O08749,"Dld Dihydrolipoyl dehydrogenase, mitochondrial",18,56090.0,57659.0,73247.0,32969.0,29926.0,41581.0,42850.0,26817.0,59892.0,46184.0,51324.0,52399.0,49805.0,40834.0,27016.0,26501.0
Q8CAQ8,Immt MICOS complex subunit Mic60,31,23495.0,22520.0,37152.0,22760.0,19251.0,27099.0,28012.0,26260.0,41463.0,36440.0,28625.0,40442.0,38128.0,35448.0,19371.0,27154.0
E9QN99,Abhd14b Protein ABHD14B,9,54018.0,45448.0,40816.0,40893.0,30983.0,40907.0,47818.0,31287.0,58437.0,51508.0,47121.0,53477.0,43850.0,43322.0,28707.0,26331.0
P62806,Hist4h4 Histone H4,5,14952.0,18129.0,59156.0,4521.0,34495.0,14296.0,44453.0,48737.0,144176.0,110043.0,8075.0,65676.0,35176.0,32307.0,66122.0,41366.0
Q64176,Ces1e Carboxylesterase 1E,15,72840.0,114507.0,138017.0,33679.0,51782.0,66047.0,21940.0,14798.0,52357.0,49460.0,2309.0,7576.0,2411.0,1387.0,0.0,727.0
Q61635,"Ifi47 Interferon gamma inducible protein 47, isoform CRA_a",17,20224.0,21892.0,20688.0,12350.0,8133.0,14415.0,48088.0,29357.0,52628.0,50351.0,20904.0,26164.0,19530.0,13434.0,21283.0,32953.0
Q921X9,Pdia5 Protein disulfide-isomerase A5,23,65712.5,76024.5,86282.0,28259.5,37218.0,51377.0,41959.5,30310.0,78447.0,75635.0,19378.5,29243.0,30386.0,26253.5,18484.0,25012.5
Q9D023,Mpc2 Mitochondrial pyruvate carrier 2,5,37239.5,57711.5,57702.5,29436.0,44442.0,54268.0,54805.0,39637.5,45748.5,53662.0,50192.0,59640.0,56581.5,43476.0,24422.5,34683.0
Q9CQN1,"Trap1 Heat shock protein 75 kDa, mitochondrial",28,32965.5,29361.0,36852.0,27952.5,19496.0,30856.5,25537.5,19287.0,32961.5,28921.5,31748.0,39731.5,37115.0,27644.0,16481.5,20047.0
