uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
Q91VB8,Hba-a2 Hemoglobin subunit alpha,3,,49294.0,18240.0,75916.0,205315.0,262362.0,40919.0,90026.0,121212.0,78800.0,84117.0,81717.0,151268.0,90653.0,190263.0,117295.0,106762.0
A0A075B5R6,Ighv11-1 Protein Ighv11-1,1,,4585.0,3035.0,2670.0,5063.0,3677.0,3115.0,4726.0,3493.0,4279.0,2503.0,12465.0,5067.0,5205.0,7091.0,2532.0,3692.0
A0A075B5L1,Igkv10-94 Protein Igkv10-94,1,,770.0,0.0,0.0,594.0,0.0,738.0,0.0,0.0,0.0,0.0,759.0,0.0,970.0,710.0,0.0,0.0
P32261,Serpinc1 Antithrombin-III,8,TP,135948.0,54324.0,68215.0,115818.0,298287.0,68231.0,136374.0,69633.0,163193.0,91873.0,123484.0,326744.0,209522.0,323512.0,180840.0,287821.0
A0A0B4J1I9,Igkv4-55 Protein Igkv4-55,1,,1263.0,1144.0,0.0,610.0,4449.0,0.0,805.0,3946.0,1706.0,0.0,3980.0,2044.0,742.0,1009.0,0.0,1761.0
Q60994,Adipoq Adiponectin,6,TP,45300.0,29994.0,274953.0,569565.0,1687758.0,10207.0,89194.0,205708.0,262303.0,324482.0,56026.0,101158.0,271851.0,428764.0,109635.0,529658.0
Q8VCG4,C8g Complement component C8 gamma chain,3,TP,19400.0,11913.0,11827.0,21398.0,28052.0,11332.0,20613.0,11059.0,20599.0,15039.0,24914.0,30275.0,18957.0,37053.0,24728.0,29013.0
P19221,F2 Prothrombin,10,,119551.0,58860.0,50685.0,84783.0,206034.0,54402.0,91935.0,64662.0,84105.0,65364.0,98541.0,274474.0,138821.0,202885.0,136745.0,200814.0
Q07456,Ambp Protein AMBP,4,TP,62566.0,21991.0,18324.0,41779.0,75662.0,32420.0,50893.0,28707.0,54549.0,45359.0,105750.0,271524.0,160023.0,222123.0,152452.0,114566.0
Q02257,Jup Junction plakoglobin,10,,100710.0,124307.0,74312.0,138656.0,121677.0,64284.0,145681.0,107969.0,143329.0,135753.0,196479.0,89470.0,128794.0,184611.0,86061.0,128629.0
