,uniprot,annotation,log2_norm_ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_1,TPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1,FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1,TPR-FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_1,log2_norm_ratio_iWAT_HF_cre+_1/iWAT_HF_cre-_2,TPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2,FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2,TPR-FPR_iWAT_HF_cre+_1/iWAT_HF_cre-_2,log2_norm_ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_1,TPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1,FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1,TPR-FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_1,log2_norm_ratio_iWAT_HF_cre+_2/iWAT_HF_cre-_2,TPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2,FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2,TPR-FPR_iWAT_HF_cre+_2/iWAT_HF_cre-_2,log2_norm_ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_1,TPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1,FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1,TPR-FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_1,log2_norm_ratio_iWAT_HF_cre+_3/iWAT_HF_cre-_2,TPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2,FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2,TPR-FPR_iWAT_HF_cre+_3/iWAT_HF_cre-_2,log2_norm_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_1,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1,log2_norm_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_2,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2,log2_norm_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_1,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1,log2_norm_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_2,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2,log2_norm_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_1,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1,log2_norm_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_2,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2,description,pep_num,iWAT_HF_cre-_1,iWAT_HF_cre-_2,iWAT_chow_cre-_1,iWAT_chow_cre-_2,iWAT_HF_cre+_1,iWAT_HF_cre+_2,iWAT_HF_cre+_3,iWAT_chow_cre+_1,iWAT_chow_cre+_2,iWAT_chow_cre+_3
1468,Q9QZW0,,,,,,,,,,,,,,,,,,,,,,,,,,1.4337509179561811,0.4965034965034965,0.13012895662368112,0.3663745398798154,1.2591374508402136,0.5,0.16784037558685447,0.3321596244131455,1.6366427372025416,0.35664335664335667,0.11228070175438597,0.2443626548889707,1.4594786690912132,0.36363636363636365,0.1557377049180328,0.20789865871833085,1.9989919413876018,0.08865248226950355,0.07276995305164319,0.01588252921786036,1.7847264054485101,0.12323943661971831,0.11189634864546526,0.011343087974253055,Atp11c Phospholipid-transporting ATPase 11C,1,2681.0,2881.0,2985.0,2374.0,6813.0,4674.0,6729.0,14191.0,26610.0,21631.0
1469,Q9DC11,,,,,,,,,,,,,,,,,,,,,,,,,,1.4133681173047707,0.4965034965034965,0.13012895662368112,0.3663745398798154,1.9156890663895092,0.33916083916083917,0.13849765258215962,0.20066318657867954,1.092801122845631,0.513986013986014,0.17543859649122806,0.3385474174947859,1.592571470935009,0.3356643356643357,0.14637002341920374,0.18929431224513193,,,,,,,,,Plxdc2 Plexin domain-containing protein 2,2,4944.5,4280.5,8565.5,4261.0,13669.5,10803.5,15403.0,40150.0,52377.0,12593.5
1470,O09117,,,,,,,,,,,,,,,,,,,,,,,,,,1.4111895933511762,0.4965034965034965,0.13012895662368112,0.3663745398798154,0.7067643510147292,0.6118881118881119,0.2476525821596244,0.3642355297284875,1.8360806083253591,0.2902097902097902,0.09707602339181287,0.19313376681797734,1.1291047649935515,0.45454545454545453,0.19086651053864168,0.26367894400681285,1.9932706479554658,0.08865248226950355,0.07276995305164319,0.01588252921786036,1.2491933367958947,0.1936619718309859,0.15429917550058891,0.03936279633039699,Sypl1 Synaptophysin-like protein 1,1,3393.0,2848.0,2024.0,2324.0,10181.0,3831.0,5521.0,9473.0,20718.0,14609.0
1471,P06909,TP,,,,,,,,,,,,,,,,,,,,,,,,,1.402987681173426,0.4965034965034965,0.13012895662368112,0.3663745398798154,0.7035038089851872,0.6153846153846154,0.2476525821596244,0.36773203322499104,1.7917961655451011,0.3041958041958042,0.10058479532163743,0.20361100887416678,1.0897616923615012,0.46153846153846156,0.1955503512880562,0.26598811025040536,,,,,,,,,Cfh Complement factor H,2,1532.0,1716.0,1788.0,2046.0,4285.0,3015.0,5125.0,8321.0,17749.0,3743.0
1472,P56959,FP,,,,,,,,,,,,,,,,,,,,,,,,,1.3487037213126738,0.5174825174825175,0.13012895662368112,0.3873535608588364,0.8918598356444818,0.583916083916084,0.215962441314554,0.36795364260152996,2.053692489136919,0.24125874125874125,0.08304093567251462,0.1582178055862266,1.5942980024733662,0.3356643356643357,0.1451990632318501,0.19046527243248557,1.6696425513276183,0.1276595744680851,0.08568075117370892,0.041978823294376175,1.1731465968363022,0.21830985915492956,0.16136631330977622,0.05694354584515335,Fus RNA-binding protein FUS,1,3965.0,5435.0,7368.0,7126.0,10703.0,6672.0,10078.0,33023.0,87699.0,42495.0
1473,Q3TUQ5,,,,,,,,,,,,,,,,,,,,,,,,,,1.3476057965650134,0.5174825174825175,0.13130128956623682,0.3861812279162807,0.6314553640520945,0.6293706293706294,0.26291079812206575,0.36645983124856363,1.1188886253436676,0.5104895104895105,0.17309941520467836,0.33739009528483216,,,,,,,,,,,,,Pnn Pinin,1,1033.0,1476.5,1561.0,1807.0,1413.0,1600.5,1946.0,6991.0,9719.5,4827.5
1474,Q9QZQ8,FP,,,,,,,,,,,,,,,,,,,,,,,,,1.3419192223595129,0.5174825174825175,0.13130128956623682,0.3861812279162807,,,,,1.1914342223843313,0.48951048951048953,0.16140350877192983,0.3281069807385597,,,,,0.9523993413794654,0.2978723404255319,0.18309859154929578,0.11477374887623612,,,,,H2afy Core histone macro-H2A.1,2,1740.5,1489.5,2181.5,3146.0,2461.5,1939.5,3395.0,9731.5,14283.5,7653.0
1475,Q6P4T2,FP,,,,,,,,,,,,,,,,,,,,,,,,,1.3392229995839111,0.5209790209790209,0.1324736225087925,0.38850539847022847,1.35185542122384,0.48951048951048953,0.1619718309859155,0.32753865852457403,1.8674580708345334,0.2762237762237762,0.0935672514619883,0.1826565247617879,1.877539891479102,0.25874125874125875,0.13114754098360656,0.1275937177576522,1.0698556000127153,0.25886524822695034,0.15375586854460094,0.1051093796823494,1.0428359528295204,0.23943661971830985,0.17785630153121318,0.061580318187096666,Snrnp200 U5 small nuclear ribonucleoprotein 200 kDa helicase,4,1985.5,1893.5,2141.0,1495.5,3892.5,3319.0,6238.5,9533.0,22397.5,8148.0
1476,Q99M28,FP,,,,,,,,,,,,,,,,,,,,,,,,,1.3262751532022057,0.5209790209790209,0.13716295427901523,0.3838160667000057,,,,,,,,,,,,,0.9099914429115454,0.3120567375886525,0.1936619718309859,0.11839476575766658,,,,,Rnps1 RNA-binding protein with serine-rich domain 1,1,1864.0,2803.0,2701.0,3365.0,3614.0,3768.0,4672.0,11919.0,15169.0,9201.0
1477,Q08857,,,,,,,,,,,,,,,,,,,,,,,,,,1.3139897412032813,0.5209790209790209,0.13833528722157093,0.38264373375745,,,,,,,,,,,,,,,,,,,,,Cd36 Platelet glycoprotein 4,5,15192.0,9957.0,8452.5,13255.5,30524.5,22355.5,33948.0,36983.0,42093.5,13917.0
