,uniprot,annotation,ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_1/ctrl_turbo(-)_2_ratio,ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_2/ctrl_turbo(-)_2_ratio,ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,original_ratio_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,FP_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TP_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,TPR-FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_1_ratio,ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,original_ratio_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,FP_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TP_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio,TPR-FPR_ctrl_turbo(+)_3/ctrl_turbo(-)_2_ratio
139,Q60930,,0.7714026543184989,1.9053482520477543,36.0,24.0,0.10714285714285714,0.0502092050209205,0.056933652121936636,,,,,,,,,,,,,,,,,,,,,,0.7220546470797399,2.7232185877188284,62.0,34.0,0.15178571428571427,0.08623087621696801,0.06555483806874626,,,,,,,
140,Q566J8,,0.7679068568047142,1.9007369875633349,36.0,24.0,0.10714285714285714,0.0502092050209205,0.056933652121936636,1.2828194970964542,2.5912087912087913,17.0,14.0,0.0625,0.023676880222841225,0.03882311977715877,,,,,,,,,,,,,,,0.8348752254765309,2.944725932749885,43.0,28.0,0.125,0.059805285118219746,0.06519471488178025,1.321744373347817,4.014442700156986,16.0,16.0,0.07142857142857142,0.022284122562674095,0.04914444886589733
141,E9QKZ2,,0.762276371391293,1.8933333333333333,36.0,24.0,0.10714285714285714,0.0502092050209205,0.056933652121936636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,P28798,TP,0.7479373154347698,1.8746085566809927,36.0,24.0,0.10714285714285714,0.0502092050209205,0.056933652121936636,,,,,,,,,,,,,,,,,,,,,,0.7077138816760176,2.6962831781957974,63.0,34.0,0.15178571428571427,0.08762169680111266,0.06416401748460161,,,,,,,
143,Q497J1,,0.7417520448729416,1.8665887460343964,36.0,25.0,0.11160714285714286,0.0502092050209205,0.06139793783622236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,P97290,TP,0.7376315009012194,1.861265106996341,36.0,25.0,0.11160714285714286,0.0502092050209205,0.06139793783622236,,,,,,,,,,,,,,,,,,,,,,0.6327102824196429,2.5596888051151274,76.0,40.0,0.17857142857142858,0.10570236439499305,0.07286906417643553,,,,,,,
145,Q80XR2,,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,2.0,0.0,0.0,0.002793296089385475,-0.002793296089385475,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0
146,P70459,FP,,,,,,,,inf,inf,0.0,0.0,0.0,0.0,0.0,,,,,,,,inf,inf,2.0,0.0,0.0,0.002793296089385475,-0.002793296089385475,0.6452125384122082,2.581967213114754,74.0,38.0,0.16964285714285715,0.10292072322670376,0.06672213391615339,inf,inf,3.0,1.0,0.004464285714285714,0.004178272980501393,0.00028601273378432105
147,Q91YE3,FP,,,,,,,,inf,inf,1.0,0.0,0.0,0.001392757660167131,-0.001392757660167131,,,,,,,,,,,,,,,,,,,,,,inf,inf,1.0,1.0,0.004464285714285714,0.001392757660167131,0.0030715280541185833
148,P35290,,,,,,,,,inf,inf,2.0,0.0,0.0,0.002785515320334262,-0.002785515320334262,,,,,,,,inf,inf,2.0,0.0,0.0,0.002793296089385475,-0.002793296089385475,,,,,,,,,,,,,,
