,uniprot,annotation,iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_1/iWAT_chow_cre-_2_ratio,iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_2/iWAT_chow_cre-_2_ratio,iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,original_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,FP_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TP_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_1_ratio,iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,original_ratio_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,FP_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TP_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio,TPR-FPR_iWAT_chow_cre+_3/iWAT_chow_cre-_2_ratio
1303,Q3U0S6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9491384780281933,3.5002162629757785,157.0,84.0,0.2978723404255319,0.18427230046948356,0.11360003995604834,0.9783132891378519,5.2100434572670205,162.0,72.0,0.2535211267605634,0.19081272084805653,0.06270840591250684
1304,Q8VHK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.945420634785681,3.491207774178621,157.0,84.0,0.2978723404255319,0.18427230046948356,0.11360003995604834,1.1406055572033285,5.830370942812983,141.0,63.0,0.22183098591549297,0.16607773851590105,0.05575324739959192
1305,O88342,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9378968709655969,3.47304825421734,158.0,85.0,0.30141843971631205,0.18544600938967137,0.11597243032664067,,,,,,,
1306,Q8JZN5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9355848138493134,3.467486818980668,160.0,85.0,0.30141843971631205,0.18779342723004694,0.11362501248626511,,,,,,,
1307,P06800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9352717186296485,3.4667343829355004,160.0,85.0,0.30141843971631205,0.18779342723004694,0.11362501248626511,,,,,,,
1308,F7DCH5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9265074436116958,3.4457380457380458,160.0,85.0,0.30141843971631205,0.18779342723004694,0.11362501248626511,1.035279398458943,5.4198822759973835,155.0,68.0,0.23943661971830985,0.18256772673733804,0.05686889298097181
1309,Q8CE80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9244636992116677,3.4408602150537635,160.0,85.0,0.30141843971631205,0.18779342723004694,0.11362501248626511,,,,,,,
1310,P45952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9224199411444021,3.4359892569382273,161.0,85.0,0.30141843971631205,0.18896713615023475,0.1124513035660773,,,,,,,
1311,Q3UH68,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9148855634326907,3.4180918091809183,163.0,86.0,0.3049645390070922,0.19131455399061034,0.11364998501648185,1.0376718852076772,5.428877769835597,154.0,68.0,0.23943661971830985,0.18138987043580684,0.058046749282503
1312,Q91VI7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9062033452864869,3.397583317092185,166.0,89.0,0.31560283687943264,0.19483568075117372,0.12076715612825892,,,,,,,
1313,Q6P549,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9043042031747052,3.3931137318693234,166.0,89.0,0.31560283687943264,0.19483568075117372,0.12076715612825892,,,,,,,
1314,Q9ESD7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9032080860079337,3.3905367231638417,168.0,89.0,0.31560283687943264,0.19718309859154928,0.11841973828788335,0.6596601528247751,4.177507069828149,217.0,98.0,0.34507042253521125,0.25559481743227325,0.089475605102938
1315,Q61838,TP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8982419716069411,3.3788857185763628,169.0,89.0,0.31560283687943264,0.1983568075117371,0.11724602936769554,,,,,,,
1316,Q8CIE4,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8942669378935516,3.3695887445887447,170.0,90.0,0.3191489361702128,0.19953051643192488,0.1196184197382879,,,,,,,
1317,P42230,FP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8852319332651928,3.348552338530067,171.0,93.0,0.32978723404255317,0.2007042253521127,0.12908300869044048,0.8843404948620861,4.8814935064935066,175.0,76.0,0.2676056338028169,0.2061248527679623,0.061480781034854576
