uniprot_id,description,pep_num,annotation,iWAT_HF_cre-_1,iWAT_HF_cre-_2,iWAT_chow_cre-_1,iWAT_chow_cre-_2,iWAT_HF_cre+_1,iWAT_HF_cre+_2,iWAT_HF_cre+_3,iWAT_chow_cre+_1,iWAT_chow_cre+_2,iWAT_chow_cre+_3
Q921G6,Lrch4 Leucine-rich repeat and calponin homology domain-containing protein 4,1,,1062.0,0.0,0.0,0.0,2760.0,1723.0,2881.0,1612.0,1605.0,0.0
Q8BGZ4,Cdc23 Cell division cycle protein 23 homolog,2,,5603.0,4660.0,4782.0,3800.0,13789.0,9111.0,14013.0,10735.0,17726.0,6219.0
P29351,Ptpn6 Tyrosine-protein phosphatase non-receptor type 6,1,FP,3308.0,3080.0,6198.0,4342.0,9868.0,6827.0,14453.0,9782.0,11372.0,16345.0
Q8CFB4,Gbp5 Guanylate-binding protein 5,1,,2589.0,2896.0,3375.0,1574.0,8333.0,6035.0,9904.0,5414.0,8524.0,5794.0
Q99KE1,"Me2 NAD-dependent malic enzyme, mitochondrial",1,FP,0.0,1439.0,0.0,0.0,1572.0,0.0,1533.0,1577.0,1704.0,1490.0
O88495,Gpr50 Melatonin-related receptor,1,,3040.0,2320.0,1861.0,3382.0,14393.0,7462.0,12236.0,3448.0,6123.0,2749.0
Q8BWF0,"Aldh5a1 Succinate-semialdehyde dehydrogenase, mitochondrial",1,FP,1458.0,0.0,0.0,0.0,1839.0,1737.0,1331.0,2080.0,1922.0,1881.0
Q3TQB2,Foxred1 FAD-dependent oxidoreductase domain-containing protein 1,1,FP,9149.0,4782.0,7705.0,4743.0,19026.0,9065.0,21651.0,12311.0,19674.0,9328.0
Q8VEJ9,Vps4a Vacuolar protein sorting-associated protein 4A,1,,1995.0,1564.0,1742.0,2011.0,5991.0,4113.0,7256.0,3373.0,4807.0,4714.0
Q9Z0M5,Lipa Lysosomal acid lipase/cholesteryl ester hydrolase,1,,2318.0,2252.0,2437.0,3025.0,23114.0,19856.0,34193.0,28934.0,37558.0,13323.0
P97300,Nptn Neuroplastin,1,,2457.0,2150.0,1772.0,1727.0,3006.0,2670.0,5171.0,2860.0,2865.0,2103.0
P03888,Mtnd1 NADH-ubiquinone oxidoreductase chain 1,1,FP,3046.0,2093.0,0.0,0.0,8241.0,3605.0,4967.0,1674.0,5198.0,3474.0
O70252,Hmox2 Heme oxygenase 2,1,TP,3220.0,2593.0,2772.0,2797.0,8137.0,6067.0,10344.0,8620.0,12911.0,5891.0
Q8R0Y8,Slc25a42 Mitochondrial coenzyme A transporter SLC25A42,1,FP,11604.0,11085.0,10579.0,7613.0,38616.0,18727.0,25036.0,8647.0,10973.0,8736.0
E9Q555,Rnf213 E3 ubiquitin-protein ligase RNF213,10,,46318.0,40410.0,41074.0,25190.0,97790.0,70916.0,90411.0,59463.0,115158.0,113671.0
Q70FJ1,Akap9 A-kinase anchor protein 9,2,,4550.0,2991.0,4417.0,3703.0,11710.0,11510.0,15074.0,12411.0,19327.0,10390.0
E9Q394,Akap13 A-kinase anchor protein 13,5,FP,18963.0,14995.0,13334.0,10248.0,61563.0,43363.0,60387.0,33114.0,47394.0,28734.0
B1AY13,Usp24 Ubiquitin carboxyl-terminal hydrolase 24,5,,33642.0,29630.0,27626.0,18211.0,76222.0,53292.0,83755.0,46735.0,71727.0,45451.0
Q3UH93,Plxnd1 Plexin-D1,1,,1386.0,2380.0,0.0,0.0,9003.0,6737.0,10609.0,11260.0,19264.0,3959.0
Q6PB44,Ptpn23 Tyrosine-protein phosphatase non-receptor type 23,3,FP,6780.0,3473.0,1804.0,3297.0,14627.0,9666.0,20360.0,10829.0,19390.0,15515.0
Q5SSZ5,Tns3 Tensin-3,2,,8000.0,6044.0,5566.0,2948.0,12967.0,9650.0,16106.0,5556.0,10186.0,7551.0
Q80TE0,Rpap1 RNA polymerase II-associated protein 1,1,FP,1631.0,1790.0,1879.0,1531.0,5185.0,3510.0,6117.0,2823.0,5205.0,2824.0
E9QLA5,Inf2 Inverted formin-2,2,,7145.0,6814.0,6267.0,4230.0,22050.0,12889.0,21532.0,10476.0,16676.0,13765.0
Q68FE6,Fam65a Protein FAM65A,1,,1572.0,1860.0,1947.0,0.0,2550.0,1815.0,1847.0,0.0,1448.0,1953.0
Q8BPM0,Daam1 Disheveled-associated activator of morphogenesis 1,2,,5659.0,4187.0,3002.0,3070.0,14340.0,13547.0,15264.0,8304.0,7480.0,4932.0
Q3U0J8,Tbc1d2b TBC1 domain family member 2B,1,,2605.0,2354.0,2832.0,1238.0,7678.0,3860.0,5802.0,5119.0,8064.0,7019.0
O08810,Eftud2 116 kDa U5 small nuclear ribonucleoprotein component,1,FP,1883.0,1805.0,2692.0,0.0,5586.0,3812.0,6613.0,8846.0,21184.0,7122.0
Q8C052,Map1s Microtubule-associated protein 1S,2,FP,9578.0,8070.0,7385.0,6509.0,16751.0,11797.0,16837.0,11548.0,16285.0,13108.0
Q811D0,Dlg1 Disks large homolog 1,1,TP,2314.0,1894.0,2584.0,3079.0,11199.0,6040.0,16755.0,7708.0,15105.0,9166.0
Q8BZ03,Prkd2 Serine/threonine-protein kinase D2,1,FP,1908.0,1125.0,1457.0,0.0,3485.0,2040.0,2428.0,2259.0,3309.0,2218.0
P58069,Rasa2 Ras GTPase-activating protein 2,2,,8155.0,10394.0,7436.0,5802.0,24553.0,19659.0,19438.0,7480.0,9704.0,6218.0
Q8C079,Strip1 Striatin-interacting protein 1,1,,3789.0,3063.0,4464.0,2363.0,5652.0,5398.0,7616.0,4786.0,5850.0,4314.0
D3YXF5,C7 Oxidation resistance protein 1,1,TP,0.0,1797.0,1849.0,0.0,5453.0,2179.0,3991.0,3351.0,4846.0,3103.0
Q9Z315,Sart1 U4/U6.U5 tri-snRNP-associated protein 1,1,FP,1496.0,1200.0,2341.0,1171.0,1817.0,2375.0,5005.0,4909.0,10244.0,3814.0
O70496,Clcn7 H(+)/Cl(-) exchange transporter 7,1,,3457.0,906.0,3612.0,2373.0,9824.0,7273.0,8757.0,8128.0,9879.0,5607.0
Q8VCB3,Gys2 Glycogen,1,,4049.0,3451.0,2644.0,2254.0,14394.0,10741.0,16056.0,4736.0,9404.0,6724.0
Q8R1X6,Spg20 Spartin,1,,2608.0,3103.0,2993.0,2156.0,10190.0,5081.0,8957.0,4863.0,7475.0,8358.0
P35492,Hal Histidine ammonia-lyase,1,,11790.0,5639.0,9590.0,4852.0,8146.0,11993.0,13964.0,10406.0,10023.0,11878.0
Q9WTW5,Slc22a3 Solute carrier family 22 member 3,1,,15047.0,10689.0,8291.0,12844.0,61427.0,42943.0,40964.0,44351.0,48218.0,25195.0
P36423,Tbxas1 Thromboxane-A synthase,1,TP,2902.0,1873.0,3193.0,2075.0,6475.0,3009.0,5509.0,3942.0,8353.0,6326.0
Q3ULW8,Parp3 Poly,1,FP,8489.0,11597.0,14580.0,12130.0,21717.0,14947.0,24891.0,24962.0,31811.0,26023.0
Q9CYR6,Pgm3 Phosphoacetylglucosamine mutase,1,,9058.0,8186.0,18327.0,12646.0,26919.0,14650.0,30387.0,27766.0,36541.0,19587.0
Q61390,Cct6b T-complex protein 1 subunit zeta-2,1,,13924.0,9629.0,14046.0,7591.0,34799.0,23915.0,35148.0,13377.0,29957.0,16782.0
Q9EQ08,"Sgsh N-sulfoglucosamine sulfohydrolase (Sulfamidase), isoform CRA_b",1,,2288.0,1670.0,1699.0,1644.0,8703.0,6039.0,11730.0,7719.0,9057.0,3999.0
Q3UFK8,Frmd8 FERM domain-containing protein 8,1,,14850.0,9116.0,9911.0,7159.0,29893.0,21000.0,27552.0,22092.0,28817.0,19504.0
P21956,Mfge8 Lactadherin,1,TP,0.0,1680.0,1193.0,0.0,6919.0,5107.0,7000.0,5320.0,4691.0,1875.0
P25118,Tnfrsf1a Tumor necrosis factor receptor superfamily member 1A,1,,1689.0,1511.0,1954.0,0.0,8548.0,4087.0,10543.0,11017.0,14722.0,3472.0
P51569,Gla Alpha-galactosidase A,1,,2589.0,1482.0,1562.0,0.0,7102.0,3927.0,5902.0,5430.0,6726.0,2167.0
Q924Z4,Cers2 Ceramide synthase 2,1,TP,3467.0,2006.0,2700.0,5008.0,17150.0,6080.0,17543.0,36863.0,33791.0,28794.0
