uniprot_id,description,pep_num,annotation,ctrl_turbo(-)_1,ctrl_turbo(-)_2,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(-)_1,LPS_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4
E9QPD7,Pcx Pyruvate carboxylase,27,,621446.0,1185000.0,3065785.0,2912634.0,750947.0,796613.0,816353.0,1440811.0,713020.0,606169.0,1083359.0,789649.0,2992766.0,1461317.0,1574755.0,1174737.0
Q61247,Serpinf2 Alpha-2-antiplasmin,12,TP,141564.0,285507.0,5901956.0,3933471.0,4022973.0,147698.0,226466.0,3474949.0,2975738.0,2312959.0,272946.0,125300.0,4838391.0,5110943.0,4390217.0,3819969.0
P29788,Vtn Vitronectin,8,TP,138491.0,266295.0,1966462.0,1106397.0,1035356.0,153400.0,112709.0,1261233.0,1115378.0,846727.0,244946.0,139393.0,2046198.0,1627813.0,1655822.0,1693749.0
P21180,C2 Complement C2,2,TP,6231.0,11905.0,131834.0,103410.0,84319.0,5140.0,4077.0,46160.0,42477.0,39916.0,7700.0,3229.0,98599.0,97651.0,124119.0,112282.0
Q3UTR7,Agt Angiotensinogen,9,TP,114628.0,341233.0,1917274.0,1732808.0,2009548.0,113583.0,168104.0,2486736.0,2705135.0,2025213.0,173458.0,90875.0,2619231.0,2751243.0,2016965.0,2100333.0
A0A075B6A0,Ighm Ig mu chain C region,15,,1266880.0,1695796.0,2306505.0,1351288.0,2190241.0,504033.0,707703.0,1113811.0,1185131.0,786374.0,842856.0,628377.0,2825572.0,1959454.0,1754212.0,3588302.0
Q9QXC1,Fetub Fetuin-B,6,TP,96857.0,228410.0,1530574.0,1109939.0,949871.0,66829.0,97164.0,1082410.0,918431.0,736352.0,89538.0,49553.0,940618.0,833302.0,776620.0,727401.0
Q80YQ1,Thbs1 Thrombospondin-1,28,,2951216.0,1892684.0,2782361.0,1500458.0,1238399.0,1195128.0,828301.0,1289493.0,1160471.0,1080034.0,977561.0,1197298.0,1232062.0,1709827.0,499485.0,907324.0
A0A075B5R5,Ighv4-1 Protein Ighv4-1,2,,108468.0,229505.0,184919.0,149397.0,110145.0,39259.0,37369.0,96354.0,70074.0,71220.0,44664.0,27803.0,177246.0,68407.0,66268.0,71744.0
Q6S9I3,Kng2 Protein Kng2,9,TP,66166.0,98943.0,1343178.0,956079.0,931267.0,51271.0,99532.0,592193.0,636509.0,423168.0,98954.0,59326.0,1201149.0,1382225.0,1167453.0,1121012.0
P09813,Apoa2 Apolipoprotein A-II,1,TP,25325.0,104405.0,69098.0,72649.0,45234.0,15409.0,35961.0,72994.0,51415.0,29214.0,20099.0,9641.0,127554.0,35022.0,41696.0,45519.0
Q61704,Itih3 Inter-alpha-trypsin inhibitor heavy chain H3,15,TP,197267.0,433861.0,2849601.0,1153961.0,1215440.0,123512.0,167526.0,1477792.0,1484699.0,1289464.0,622301.0,196211.0,8964551.0,5933872.0,4817905.0,4482849.0
D3Z5G7,Ces1b Carboxylic ester hydrolase,7,,77723.0,172224.0,2285484.0,1339792.0,1515058.0,65930.0,86633.0,1561733.0,1029834.0,929762.0,52917.0,56063.0,841568.0,1219623.0,1291093.0,1104253.0
Q02819,Nucb1 Nucleobindin-1,13,TP,54607.0,51910.0,1896758.0,1145172.0,935031.0,65182.0,89060.0,463350.0,733627.0,783679.0,48613.0,52412.0,687748.0,803926.0,1181359.0,1481255.0
P47877,Igfbp2 Insulin-like growth factor-binding protein 2,6,TP,15873.0,31902.0,280259.0,388307.0,260777.0,32584.0,11265.0,549848.0,259018.0,164090.0,28327.0,5836.0,403921.0,228430.0,203322.0,250464.0
P42703,Lifr Leukemia inhibitory factor receptor,23,TP,252285.0,330192.0,12417264.0,10298147.0,9151218.0,288673.0,527866.0,1828292.0,1730654.0,1649774.0,145958.0,146666.0,1573381.0,2114954.0,4860391.0,5262945.0
A0A075B5S2,Ighv7-1 Protein Ighv7-1,3,,41047.0,115959.0,105870.0,62553.0,35543.0,25564.0,25199.0,37451.0,33882.0,28216.0,21343.0,18980.0,68722.0,50464.0,33191.0,33522.0
A2AS37,AI182371 Protein AI182371,8,TP,61459.0,84325.0,2256595.0,1611492.0,1406825.0,71549.0,92573.0,1369368.0,836563.0,634480.0,97773.0,27890.0,1761079.0,1549417.0,1723675.0,1931992.0
Q9CQW3,Proz Vitamin K-dependent protein Z,6,TP,30081.0,31237.0,574527.0,595836.0,510469.0,29851.0,41884.0,382511.0,334565.0,282378.0,33431.0,12965.0,459316.0,469692.0,563888.0,529863.0
Q07968,F13b Coagulation factor XIII B chain,16,TP,171174.0,240524.0,2459644.0,1137139.0,2355350.0,91142.0,247500.0,1426574.0,1292042.0,1259133.0,142590.0,87130.0,1665047.0,1716789.0,1777913.0,1486542.0
O88783,F5 Coagulation factor V,49,TP,482808.0,783858.0,5532215.0,2996809.0,4273720.0,421390.0,492901.0,6773836.0,4358608.0,2972761.0,1035219.0,202281.0,16888157.0,12691853.0,13231487.0,12945121.0
