uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
Q1HFZ0,Nsun2 tRNA (cytosine(34)-C(5))-methyltransferase,2,TP,21153.0,26043.0,34641.0,18305.0,10368.0,30524.0,22525.0,25439.0,31849.0,21664.0,32867.0,22595.0,18255.0,29957.0,19230.0,10753.0
Q8BIJ7,Rufy1 RUN and FYVE domain-containing protein 1,2,,3351.0,6537.0,10052.0,3911.0,4556.0,8924.0,4730.0,6127.0,10387.0,6382.0,6905.0,7285.0,7326.0,8983.0,5125.0,1383.0
Q8JZR0,Acsl5 Long-chain-fatty-acid--CoA ligase 5,1,TP,3418.0,3061.0,5288.0,2646.0,1835.0,5974.0,2851.0,2631.0,4400.0,3004.0,3354.0,1886.0,1431.0,3344.0,1686.0,1339.0
Q9CWS4,Cpsf3l Integrator complex subunit 11,2,FP,39129.0,33523.0,48544.0,24856.0,15214.0,51116.0,34943.0,37865.0,53346.0,35030.0,46282.0,27893.0,16695.0,33270.0,19824.0,13401.0
Q9R069,Bcam Basal cell adhesion molecule,1,,3421.0,5379.0,5283.0,3620.0,2205.0,4249.0,2931.0,2806.0,4102.0,2905.0,3320.0,4225.0,6436.0,7602.0,3365.0,1342.0
Q61211,Eif2d Eukaryotic translation initiation factor 2D,1,,17619.0,14199.0,19439.0,15109.0,9448.0,13041.0,14747.0,15483.0,21082.0,11951.0,22277.0,14360.0,15128.0,24361.0,13989.0,8363.0
O35345,Kpna6 Importin subunit alpha-7,1,,6124.0,4087.0,7937.0,2072.0,3113.0,2908.0,3325.0,3213.0,6618.0,4959.0,6161.0,3956.0,4180.0,5828.0,2916.0,1706.0
Q91VJ4,Stk38 Serine/threonine-protein kinase 38,1,FP,6674.0,10432.0,13633.0,6589.0,6248.0,6657.0,6889.0,8124.0,12513.0,5217.0,10287.0,6701.0,6261.0,10787.0,6088.0,3522.0
Q9Z2D6,Mecp2 Methyl-CpG-binding protein 2,1,FP,10760.0,18783.0,20007.0,9112.0,8548.0,9890.0,9071.0,8288.0,19595.0,9153.0,17657.0,12297.0,11874.0,24800.0,10707.0,3499.0
Q9DCE5,Pak1ip1 p21-activated protein kinase-interacting protein 1,1,FP,2346.0,2412.0,2895.0,3200.0,0.0,4419.0,3511.0,4041.0,6194.0,3452.0,5294.0,3382.0,2083.0,2877.0,2586.0,2029.0
Q80Z24,Negr1 Neuronal growth regulator 1,1,,37419.0,89041.0,85417.0,5596.0,12472.0,24686.0,48763.0,25333.0,78336.0,13244.0,13827.0,70569.0,56616.0,140906.0,17165.0,5770.0
Q8BVA5,Ldah Lipid droplet-associated hydrolase,1,TP,26108.0,26707.0,34877.0,21704.0,11551.0,19721.0,18866.0,22224.0,37819.0,19382.0,26164.0,29385.0,19349.0,44930.0,26540.0,14010.0
Q99JW4,Lims1 LIM and senescent cell antigen-like-containing domain protein 1,1,,30022.0,31318.0,35693.0,28590.0,11424.0,47235.0,37548.0,48035.0,65640.0,22875.0,43790.0,36566.0,18254.0,54561.0,26242.0,27369.0
Q05117,Acp5 Tartrate-resistant acid phosphatase type 5,1,,22263.0,28844.0,28676.0,9982.0,7055.0,19909.0,23544.0,19748.0,29605.0,12915.0,15374.0,15669.0,14415.0,22634.0,8692.0,5277.0
Q9DCN2,Cyb5r3 NADH-cytochrome b5 reductase 3,1,TP,114248.0,87919.0,130466.0,71160.0,67749.0,94178.0,55522.0,52040.0,69832.0,58110.0,59172.0,59891.0,77650.0,87231.0,52392.0,47540.0
Q3UW66,Mpst Sulfurtransferase,1,,51832.0,46543.0,65576.0,56829.0,24988.0,40347.0,47814.0,39191.0,52475.0,44779.0,70814.0,24767.0,20456.0,30066.0,18824.0,10652.0
Q61166,Mapre1 Microtubule-associated protein RP/EB family member 1,1,,48293.0,54565.0,60511.0,23165.0,16342.0,48529.0,39109.0,31310.0,61649.0,30380.0,40422.0,44140.0,22281.0,71849.0,32720.0,17099.0
Q6P5H2,Nes Nestin,5,,100185.0,75868.0,108294.0,78085.0,59002.0,116177.0,60952.0,72474.0,97557.0,74141.0,75349.0,74344.0,67589.0,102320.0,64316.0,31815.0
Q6PDI5,Ecm29 Proteasome-associated protein ECM29 homolog,4,TP,56831.0,65133.0,71316.0,33659.0,37662.0,35578.0,41588.0,32306.0,71275.0,65450.0,58177.0,36220.0,51758.0,70512.0,39396.0,14896.0
Q922B9,Ssfa2 Sperm-specific antigen 2 homolog,1,,9842.0,7800.0,11652.0,4619.0,4949.0,11244.0,9537.0,8499.0,14526.0,7926.0,11220.0,8156.0,8339.0,18889.0,6114.0,3540.0
Q8CIE4,Parp10 Poly,2,FP,11288.0,14402.0,16914.0,9070.0,6442.0,8695.0,7596.0,7358.0,12926.0,8648.0,11030.0,4789.0,7272.0,10439.0,4922.0,2701.0
A2AAY5,Sh3pxd2b SH3 and PX domain-containing protein 2B,2,,31053.0,36148.0,37445.0,22815.0,19467.0,23390.0,24452.0,19629.0,35803.0,32020.0,34187.0,22906.0,24001.0,41430.0,19330.0,8708.0
Q6PHU5,Sort1 Sortilin,2,TP,56125.0,56542.0,72988.0,11027.0,11767.0,38664.0,31909.0,38619.0,76010.0,12897.0,19131.0,30553.0,29182.0,43321.0,14177.0,7808.0
Q8VCC9,Spon1 Spondin-1,2,TP,88189.0,134632.0,199780.0,12070.0,18345.0,82350.0,74854.0,75023.0,136080.0,13949.0,25518.0,61803.0,49104.0,105478.0,21132.0,13011.0
Q01853,Vcp Transitional endoplasmic reticulum ATPase,2,TP,93008.0,65139.0,96747.0,57515.0,50122.0,55000.0,73167.0,71059.0,108571.0,51789.0,90835.0,54636.0,53107.0,123563.0,76900.0,25718.0
Q99K01,Pdxdc1 Pyridoxal-dependent decarboxylase domain-containing protein 1,2,,34365.0,38719.0,48036.0,21548.0,20155.0,31113.0,28119.0,25415.0,56512.0,25421.0,28283.0,22590.0,22220.0,47933.0,17658.0,8335.0
Q7TMQ7,Wdr91 WD repeat-containing protein 91,1,,8247.0,11110.0,11218.0,8887.0,8421.0,10573.0,9726.0,8578.0,14172.0,10169.0,10677.0,11258.0,10190.0,13552.0,7981.0,3209.0
A4QPD3,Rel Proto-oncogene c-Rel,1,,19482.0,22745.0,34010.0,14813.0,9706.0,25649.0,19167.0,23611.0,32988.0,22411.0,29711.0,13198.0,12863.0,15532.0,12592.0,4549.0
Q3UDK1,Trafd1 TRAF-type zinc finger domain-containing protein 1,1,,7779.0,8270.0,9284.0,7727.0,6190.0,9050.0,7158.0,9573.0,19117.0,7536.0,15788.0,7671.0,7001.0,10934.0,6921.0,3060.0
Q04207,Rela Transcription factor p65,1,FP,13571.0,15490.0,19897.0,8152.0,6744.0,13888.0,12769.0,10602.0,16985.0,22251.0,19207.0,10699.0,9009.0,35804.0,13134.0,5087.0
Q9CZN7,Shmt2 Serine hydroxymethyltransferase,1,FP,5522.0,6179.0,5196.0,3007.0,2940.0,6279.0,4515.0,4165.0,5160.0,7197.0,7246.0,3955.0,4038.0,5473.0,5547.0,2657.0
Q80X41,Vrk1 Serine/threonine-protein kinase VRK1,1,FP,43556.0,55959.0,56550.0,23553.0,28489.0,59155.0,56473.0,43181.0,70905.0,63296.0,100066.0,38854.0,41939.0,76752.0,39853.0,20327.0
Q9EPJ9,Arfgap1 ADP-ribosylation factor GTPase-activating protein 1,1,,37229.0,52998.0,58889.0,21950.0,17909.0,34034.0,22704.0,21766.0,53556.0,20513.0,32437.0,40123.0,31637.0,55358.0,23960.0,10762.0
P31938,Map2k1 Dual specificity mitogen-activated protein kinase kinase 1,1,FP,180321.0,236044.0,289715.0,121688.0,120094.0,227602.0,157780.0,212137.0,257985.0,192040.0,231128.0,149052.0,136127.0,280936.0,138161.0,100840.0
Q924L1,Letmd1 LETM1 domain-containing protein 1,1,FP,9513.0,10274.0,10977.0,6107.0,8182.0,4721.0,6091.0,6211.0,12146.0,7520.0,7391.0,7068.0,6296.0,13467.0,5189.0,3204.0
Q91VY6,Cytip Cytohesin-interacting protein,1,,6896.0,8851.0,11648.0,3872.0,5434.0,3216.0,6079.0,4427.0,7294.0,8369.0,9757.0,3214.0,3963.0,7010.0,3823.0,1669.0
Q9D7H3,RtcA RNA 3'-terminal phosphate cyclase,1,FP,10006.0,10403.0,11384.0,8145.0,7122.0,12678.0,11689.0,11456.0,15673.0,10664.0,15635.0,7484.0,9067.0,12726.0,6988.0,4886.0
O88736,Hsd17b7 3-keto-steroid reductase,1,TP,11830.0,7582.0,13857.0,8295.0,6708.0,6106.0,4278.0,6947.0,8609.0,6589.0,8766.0,5372.0,6203.0,8789.0,5550.0,3188.0
P14094,Atp1b1 Sodium/potassium-transporting ATPase subunit beta-1,1,,1805.0,2607.0,3342.0,1680.0,1485.0,2904.0,2722.0,1739.0,3608.0,3879.0,4008.0,4801.0,4469.0,5372.0,2808.0,2817.0
P52623,Uck1 Uridine-cytidine kinase 1,1,,15474.0,8536.0,11960.0,11209.0,6351.0,5951.0,7979.0,6136.0,17951.0,6123.0,10132.0,12409.0,10476.0,13565.0,9791.0,2564.0
Q8R0J2,Mpdu1 Mannose-P-dolichol utilization defect 1 protein,1,,20103.0,36332.0,35808.0,4619.0,5977.0,31133.0,16720.0,21314.0,30587.0,9042.0,11594.0,22942.0,18355.0,48511.0,9417.0,4917.0
Q62093,Srsf2 Serine/arginine-rich splicing factor 2,1,FP,72262.0,51156.0,65900.0,33067.0,31584.0,79397.0,45744.0,45770.0,58619.0,50596.0,60143.0,61632.0,57264.0,103839.0,74441.0,42937.0
Q9ESP1,Sdf2l1 Stromal cell-derived factor 2-like protein 1,1,TP,40802.0,82267.0,140266.0,30935.0,25525.0,76347.0,55182.0,54969.0,93134.0,37765.0,66719.0,59796.0,29857.0,123065.0,35097.0,8880.0
Q6ZWQ0,Syne2 Nesprin-2,13,FP,142005.0,149120.0,208671.0,76582.0,75764.0,159687.0,165086.0,165628.0,253006.0,138950.0,111368.0,246913.0,156471.0,303170.0,97061.0,40943.0
E9Q394,Akap13 A-kinase anchor protein 13,5,FP,142142.0,152916.0,204069.0,109650.0,88973.0,182055.0,150311.0,187724.0,265851.0,144508.0,315619.0,146064.0,144983.0,240668.0,119824.0,82081.0
F6ZDS4,Tpr Nucleoprotein TPR,4,FP,43161.0,64589.0,71754.0,27548.0,26538.0,37337.0,35798.0,35442.0,79853.0,29262.0,37165.0,60022.0,54361.0,105098.0,38841.0,16692.0
Q6ZQ08,Cnot1 CCR4-NOT transcription complex subunit 1,5,FP,80368.0,73563.0,91454.0,48305.0,48040.0,88618.0,75367.0,88781.0,158953.0,79238.0,92215.0,73703.0,62094.0,96938.0,40316.0,25192.0
P08122,Col4a2 Collagen alpha-2(IV) chain,4,TP,191627.0,267011.0,271467.0,31342.0,46013.0,102961.0,124491.0,88210.0,168637.0,55687.0,49390.0,157677.0,103405.0,179739.0,62690.0,16360.0
Q4LDD4,"Arap1 Arf-GAP with Rho-GAP domain, ANK repeat and PH domain-containing protein 1",4,,37371.0,30491.0,41715.0,40611.0,21194.0,56375.0,46802.0,55959.0,70818.0,44947.0,72495.0,52157.0,34135.0,72948.0,47732.0,23739.0
Q80X50,Ubap2l Ubiquitin-associated protein 2-like,3,,129430.0,218381.0,262300.0,88954.0,80443.0,120474.0,114181.0,115305.0,341153.0,68278.0,113636.0,130003.0,114030.0,252296.0,75389.0,33775.0
Q80WG5,Lrrc8a Volume-regulated anion channel subunit LRRC8A,2,,24680.0,30406.0,36251.0,17241.0,20106.0,25110.0,20487.0,24240.0,41594.0,23601.0,25332.0,29548.0,23604.0,40908.0,16205.0,13414.0
Q9Z0M6,Cd97 CD97 antigen,2,TP,67641.0,126725.0,121839.0,21413.0,21627.0,31500.0,36952.0,35673.0,51400.0,28630.0,29526.0,38851.0,37393.0,61723.0,18543.0,8506.0
P49290,Epx Eosinophil peroxidase,2,,12163.0,21874.0,28441.0,12110.0,13923.0,10105.0,19227.0,12124.0,17773.0,12992.0,11746.0,9698.0,11004.0,14445.0,13927.0,4620.0
Q60864,Stip1 Stress-induced-phosphoprotein 1,1,FP,3760.0,5675.0,8627.0,3198.0,3134.0,2478.0,4464.0,3959.0,7353.0,3753.0,5073.0,3667.0,4134.0,6228.0,3751.0,2224.0
P97379,G3bp2 Ras GTPase-activating protein-binding protein 2,1,,3453.0,5760.0,6372.0,1736.0,3311.0,1888.0,2300.0,2705.0,2650.0,3770.0,3061.0,1965.0,2013.0,3102.0,0.0,1478.0
Q8BGQ6,Efcab14 EF-hand calcium-binding domain-containing protein 14,1,,35599.0,48359.0,67287.0,6853.0,8260.0,27702.0,22890.0,19543.0,39504.0,10208.0,11783.0,42237.0,24193.0,60382.0,9750.0,5504.0
Q9DCN1,Nudt12 Peroxisomal NADH pyrophosphatase NUDT12,1,,9424.0,15556.0,15790.0,6724.0,4980.0,8039.0,8241.0,8723.0,22930.0,6300.0,11153.0,12783.0,7508.0,19728.0,2849.0,3847.0
P50247,Ahcy Adenosylhomocysteinase,1,,60149.0,44567.0,58196.0,44697.0,15541.0,44875.0,41111.0,18545.0,54677.0,26222.0,41118.0,33296.0,24764.0,35833.0,23953.0,9029.0
Q99JX3,Gorasp2 Golgi reassembly-stacking protein 2,1,TP,20776.0,22541.0,29804.0,13291.0,13526.0,15537.0,17211.0,16185.0,24967.0,16733.0,20750.0,20640.0,18829.0,29969.0,15322.0,8707.0
A2ADY9,Ddi2 Protein DDI1 homolog 2,1,,14661.0,27814.0,33131.0,10531.0,17914.0,15085.0,12048.0,12186.0,25560.0,15274.0,20229.0,13813.0,20382.0,28191.0,16797.0,5177.0
P70460,Vasp Vasodilator-stimulated phosphoprotein,1,,70033.0,131370.0,161858.0,48001.0,63686.0,78953.0,49565.0,57070.0,68564.0,71319.0,82323.0,47626.0,62397.0,81016.0,48710.0,21985.0
Q9CZ42,Naxd ATP-dependent (S)-NAD(P)H-hydrate dehydratase,1,FP,16828.0,17691.0,20755.0,11078.0,7789.0,16562.0,13002.0,14068.0,20622.0,9688.0,15400.0,15230.0,12626.0,18858.0,9020.0,5507.0
Q8VDG5,Ppcs Phosphopantothenate--cysteine ligase,1,,12355.0,16604.0,16448.0,8433.0,5811.0,9859.0,11820.0,12716.0,18523.0,9970.0,16958.0,9323.0,8494.0,15913.0,7840.0,5377.0
Q80TM9,Nisch Nischarin,3,,31529.0,33631.0,35409.0,31399.0,15670.0,30577.0,24452.0,29952.0,45201.0,22210.0,37381.0,23403.0,21051.0,32749.0,20373.0,7848.0
Q61838,Pzp Pregnancy zone protein,4,TP,101657.0,75849.0,106644.0,56251.0,35593.0,105096.0,90641.0,69843.0,95984.0,62253.0,90280.0,97064.0,68166.0,125367.0,64424.0,79493.0
E9QKE4,Rab3gap2 Rab3 GTPase-activating protein non-catalytic subunit,2,,23659.0,27341.0,30873.0,10838.0,17187.0,14647.0,18332.0,18260.0,43390.0,15437.0,16592.0,16530.0,19843.0,27500.0,11343.0,4886.0
Q8BYJ6,Tbc1d4 TBC1 domain family member 4,3,,40977.0,44687.0,51622.0,28409.0,22604.0,37957.0,29543.0,41097.0,52557.0,22597.0,27927.0,35349.0,24317.0,40445.0,18237.0,12456.0
Q5SQX6,Cyfip2 Cytoplasmic FMR1-interacting protein 2,1,FP,10919.0,14373.0,15502.0,7196.0,7139.0,15823.0,13897.0,13373.0,15843.0,15073.0,16093.0,9801.0,8224.0,12868.0,9589.0,4140.0
P21447,Abcb1a Multidrug resistance protein 1A,1,,11665.0,14628.0,15068.0,5160.0,9047.0,3278.0,6033.0,5595.0,8213.0,9995.0,7453.0,11592.0,15444.0,21287.0,8045.0,2586.0
A2A432,Cul4b Cullin-4B,2,FP,140104.0,147967.0,172314.0,89673.0,75971.0,73410.0,100587.0,60360.0,175503.0,126372.0,127374.0,83723.0,86567.0,170381.0,89825.0,31165.0
Q8C0Q2,Zhx3 Zinc fingers and homeoboxes protein 3,2,FP,21461.0,25071.0,30385.0,8462.0,6015.0,16146.0,13999.0,16257.0,40295.0,7541.0,9780.0,26822.0,16017.0,43451.0,9035.0,2803.0
Q8K2I4,Manba Beta-mannosidase,2,,32800.0,49032.0,64991.0,12045.0,12034.0,28529.0,26539.0,30914.0,54225.0,12148.0,28856.0,28164.0,24793.0,43415.0,13332.0,6216.0
F8VQE9,"Agap3 Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 3",2,,4084.0,3221.0,7103.0,3743.0,1877.0,3984.0,4013.0,4935.0,8349.0,3878.0,4274.0,4083.0,4381.0,6950.0,2056.0,1675.0
P70168,Kpnb1 Importin subunit beta-1,2,FP,31304.0,41610.0,52450.0,17137.0,22653.0,21472.0,18402.0,19721.0,35833.0,27512.0,33647.0,28292.0,39819.0,53748.0,25783.0,12211.0
P70261,Pald1 Paladin,2,,34920.0,44304.0,48498.0,27248.0,21675.0,24261.0,20699.0,25503.0,45080.0,19237.0,27824.0,37986.0,37970.0,46438.0,24992.0,14753.0
Q9DBN5,"Lonp2 Lon protease homolog 2, peroxisomal",2,,12698.0,13067.0,13742.0,9888.0,6874.0,12422.0,9915.0,11276.0,18325.0,10206.0,14202.0,11612.0,7843.0,14792.0,7906.0,5561.0
Q3TDQ1,Stt3b Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B,2,TP,11036.0,12131.0,18755.0,0.0,1726.0,12686.0,9804.0,12475.0,21781.0,1991.0,2940.0,14348.0,8298.0,21936.0,0.0,0.0
Q9Z0F8,Adam17 Disintegrin and metalloproteinase domain-containing protein 17,2,TP,28737.0,44918.0,47010.0,11667.0,10501.0,45495.0,32992.0,39440.0,58144.0,12613.0,19127.0,29557.0,18858.0,35240.0,8521.0,7678.0
