uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
Q99KV1,Dnajb11 DnaJ homolog subfamily B member 11,2,TP,16858.0,5498.0,23170.0,5812.0,5290.0,4488.0,6778.0,2699.0,4300.0,4000.0,9688.0,7116.0,3872.0,10925.0,7969.0,13894.0
P54116,Stom Erythrocyte band 7 integral membrane protein,1,,18160.0,3967.0,34908.0,9280.0,14110.0,13776.0,11785.0,7577.0,6589.0,7081.0,17283.0,8863.0,10490.0,11953.0,8126.0,20073.0
P62342,Selt Selenoprotein T,1,TP,128713.0,0.0,86410.0,4412.0,13575.0,12752.0,10195.0,6859.0,6681.0,8476.0,11295.0,10951.0,11731.0,13260.0,10645.0,16131.0
Q9D0R8,Lsm12 Protein LSM12 homolog,1,,64427.0,43478.0,119058.0,32499.0,35309.0,47840.0,35440.0,25201.0,23949.0,25359.0,50178.0,42738.0,41930.0,57518.0,34698.0,59052.0
Q505D7,Opa3 Optic atrophy 3 protein homolog,1,FP,26884.0,13483.0,49119.0,12096.0,10581.0,30739.0,18849.0,10469.0,13680.0,12108.0,20412.0,12445.0,16524.0,19084.0,17648.0,23314.0
E9PVB5,Ttc17 Tetratricopeptide repeat protein 17,6,,439213.0,0.0,484591.0,996.0,37765.0,19318.0,14056.0,10526.0,12105.0,12696.0,18526.0,16041.0,15765.0,16659.0,7213.0,20533.0
Q91YE8,Synpo2 Synaptopodin-2,5,FP,30575.0,17706.0,62140.0,22941.0,18931.0,34563.0,29671.0,19799.0,21477.0,14033.0,48210.0,19757.0,24911.0,32495.0,18461.0,38469.0
Q69ZS7,Hbs1l HBS1-like protein,3,,63812.0,33086.0,85728.0,39676.0,32766.0,55201.0,54499.0,29299.0,27427.0,33606.0,81754.0,50947.0,45311.0,59617.0,42148.0,79025.0
Q9Z2G1,Fem1aa Protein fem-1 homolog A-A,1,FP,24531.0,11114.0,41473.0,16053.0,17165.0,23517.0,19817.0,9419.0,11751.0,10450.0,23011.0,21390.0,19510.0,20580.0,13819.0,21987.0
Q9WUA2,Farsb Phenylalanine--tRNA ligase beta subunit,4,,85512.0,46907.0,223160.0,41519.0,49110.0,79988.0,51496.0,22250.0,47107.0,28881.0,100039.0,55725.0,67323.0,78589.0,47841.0,85618.0
Q99LC8,Eif2b1 Translation initiation factor eIF-2B subunit alpha,1,,17971.0,11885.0,41497.0,10612.0,12039.0,20478.0,14760.0,6208.0,8818.0,5499.0,16609.0,18507.0,14436.0,14299.0,15018.0,16263.0
