uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,ctrl_turbo(-)_1,ctrl_turbo(-)_2,fast_turbo(-)_1,fast_turbo(-)_2,LPS_turbo(-)_1,LPS_turbo(-)_2
Q9D892,Itpa Inosine triphosphate pyrophosphatase,5,,562939.0182730845,542039.0,637141.132122084,344681.0,379114.09492740233,323590.2548631972,706147.5660734192,782123.3335564665,642696.274304448,574622.0335024756,455248.0,570880.0,638342.0,522559.0,343738.0,422442.0
Q9QXT0,Cnpy2 Protein canopy homolog 2,5,TP,592390.5682854191,681489.0,579473.3651779249,219237.0,254570.18266580693,190248.84084158565,168418.2845917779,123724.19253220365,282838.5916886177,261018.18988764563,25592.0,55503.0,62103.0,42041.0,30811.0,35615.0
P50295,Nat2 Arylamine N-acetyltransferase 2,6,,708738.3030092849,903305.0,892569.562000407,578011.0,487225.69776132604,583792.0539770641,981598.329843344,940246.540084986,789611.9800023494,763823.986560536,991336.0,1124268.0,906903.0,714989.0,518800.0,504807.0
Q9D8Y1,Tmem126a Transmembrane protein 126A,4,FP,89028.55302626734,64279.0,71080.39127862676,36879.0,54030.81449358553,31777.005854979983,92204.39241492357,97333.36043831833,64736.156703141016,58259.00423747936,51559.0,73463.0,62888.0,60797.0,49911.0,61305.0
Q9D6K5,Synj2bp Synaptojanin-2-binding protein,3,FP,136009.0409401468,110156.0,153260.61303284002,81054.0,91675.88609851895,78754.55310357283,160443.64935702257,153793.26071080143,156859.2819800803,142603.72319239762,82945.0,128421.0,143832.0,93352.0,78670.0,89864.0
Q8VDD5,Myh9 Myosin-9,51,,10616579.414052865,8364350.0,5947659.492344898,2585176.0,2599230.6311456393,3761418.208854107,8772915.373646814,11030153.110191975,11370904.54530449,12961388.974792352,2870516.0,6377391.0,7019940.0,3408679.0,6105382.0,5259729.0
Q5RKN9,"Capza1 Capping protein (Actin filament) muscle Z-line, alpha 1",7,,480375.9551807109,332106.0,308206.9387544546,203212.0,232545.34547881436,197233.49378563045,941278.2761780935,962256.2449685088,824968.5750743962,824991.374126976,239009.0,443808.0,512034.0,423056.0,440071.0,456728.0
Q8CG50,Rab43 Ras-related protein Rab-43,5,,197789.2839853987,216436.0,275363.6859113002,121675.0,103080.1450813259,114001.97361225658,242943.08625026344,238015.65440004037,243085.91275700534,219452.34450936643,192991.0,257399.0,250466.0,179183.0,137233.0,131937.0
P34927,Asgr1 Asialoglycoprotein receptor 1,7,,452008.61809575226,496512.0,511015.8519903264,203090.0,221941.80381329442,180899.10274568823,199630.54938317847,171952.41882104226,296037.2835003987,255819.95544183374,71398.0,94717.0,110206.0,104094.0,47479.0,64867.0
Q9DCT8,Crip2 Cysteine-rich protein 2,4,,313576.26179384417,217767.0,181965.13015329133,129150.0,177915.98059344123,109453.35837462,259634.492553829,274983.9743071062,207106.63235455347,206801.2776321516,113038.0,140922.0,199036.0,163844.0,93572.0,120031.0
