uniprot_id,description,pep_num,annotation,ctrl_turbo(+)_1,ctrl_turbo(+)_2,ctrl_turbo(+)_3,ctrl_turbo(-)_1,ctrl_turbo(-)_2,LPS_turbo(+)_1,LPS_turbo(+)_2,LPS_turbo(+)_3,LPS_turbo(+)_4,LPS_turbo(-)_1,LPS_turbo(-)_2,fast_turbo(+)_1,fast_turbo(+)_2,fast_turbo(+)_3,fast_turbo(-)_1,fast_turbo(-)_2
Q9ER38,Tor3a Torsin-3A,1,TP,9335.981143633313,11135.0,9891.270643969303,1349.0,0.0,7622.923029532652,7689.339223126145,5023.949326659711,8551.227372710227,1458.0,3720.0,7751.0,6842.074974599843,10754.449238710804,1536.0,1556.0
Q9CZ57,Nsun4 5-methylcytosine rRNA methyltransferase NSUN4,1,FP,11598.040288898519,8468.0,11283.019104317342,8428.0,4855.0,7722.732169035535,9439.255779928615,11732.638776574933,9740.80486441656,5554.0,11881.0,10625.0,9706.170309298956,8869.505923563776,7193.0,3685.0
Q8BTX9,Hsdl1 Inactive hydroxysteroid dehydrogenase-like protein 1,1,FP,30701.61942002387,23867.0,24922.942541767996,20762.0,15187.0,72696.56257888315,28676.900541639425,54517.104806312775,19857.68146906101,29643.0,35467.0,16638.0,16234.457449324604,10649.204994769127,11016.0,16621.0
P56501,Ucp3 Mitochondrial uncoupling protein 3,1,FP,42993.631889244265,22157.0,23876.56848687743,30551.0,17666.0,57177.20108944937,42767.731900990024,70040.93077474894,40988.17440141353,28126.0,53525.0,14517.0,15240.5876147171,17099.353717781436,11796.0,33371.0
Q9CY50,Ssr1 Translocon-associated protein subunit alpha,1,TP,13870.980531067727,10175.0,10294.995976376213,8169.0,6965.0,10135.42617586483,9862.438215233788,9293.210233794183,6704.891316890235,5735.0,6034.0,8334.0,6039.478202501707,6150.171117525856,5872.0,3102.0
Q9WUK2,Eif4h Eukaryotic translation initiation factor 4H,1,,7903.3033846064445,5732.0,5291.798253481982,3975.0,2808.0,4611.374185686062,3343.141238910862,3978.0325958653975,3599.109837011395,3086.0,3553.0,5608.0,6470.780206199303,5857.755972681917,5317.0,2885.0
P59024,Fkbp14 Peptidyl-prolyl cis-trans isomerase FKBP14,1,TP,92806.08450499616,135298.0,133759.24919306446,14897.0,19942.0,59019.8313571949,62402.25316283839,53973.269859462634,65718.3847180153,15035.0,30170.0,88895.0,109179.41417078898,103448.78974413226,21154.0,12781.0
P97314,Csrp2 Cysteine and glycine-rich protein 2,1,FP,2792.814872027059,3923.0,4324.276802577141,3093.0,2250.0,3556.6602980546404,2760.9794562883408,2923.7652324898922,2558.9889658156644,4542.0,4107.0,4981.0,4320.5209413880975,4548.189871419623,3479.0,1825.0
Q62267,Sprr1b Cornifin-B,1,,52060.00363181176,53925.0,121437.74129425513,213463.0,58526.0,296743.1284779787,65096.89591305186,83274.59575779315,42410.44248521564,68926.0,100639.0,120051.0,59054.62043671613,123811.97543421274,69884.0,40114.0
G5E866,Sf3b1 Splicing factor 3B subunit 1,4,FP,93221.98420888244,103026.0,77654.04440514166,31483.0,60356.0,67469.05889741969,71209.02276243252,69373.92399732622,92160.0556036348,102930.0,72702.0,88987.0,82973.75445627008,120701.91349497819,62521.0,42538.0
