,User Input,Mapped Gene Symbol,Num of Expt. (found/total),Ave SC,Max SC,found,contaminant,Key
10936,O60667,FCMR, / 716,0.0,,,False,O60667
10937,O94818,NOL4,4 / 716,1.5,2.0,4,False,O94818
10938,Q9Y2N7,HIF3A, / 716,0.0,,,False,Q9Y2N7
10939,O75191,XYLB,1 / 716,1.0,1.0,1,False,O75191
10940,Q86UX2,ITIH5, / 716,0.0,,,False,Q86UX2
10941,Q9BPV8,P2RY13, / 716,0.0,,,False,Q9BPV8
10942,Q9NQC1,JADE2, / 716,0.0,,,False,Q9NQC1
10943,O60942,RNGTT,21 / 716,1.3,3.0,21,False,O60942
10944,Q8TBC5,ZSCAN18,11 / 716,1.6,5.0,11,False,Q8TBC5
10945,Q16613,AANAT, / 716,0.0,,,False,Q16613
10946,Q02223,TNFRSF17, / 716,0.0,,,False,Q02223
10947,Q9BZD7,PRRG3, / 716,0.0,,,False,Q9BZD7
10948,Q9UKL0,RCOR1,63 / 716,2.7,15.0,63,False,Q9UKL0
10949,Q6NX49,ZNF544, / 716,0.0,,,False,"P51786, Q14588, O75437, P17035, O94892, Q9H7R0, Q6ZR52, Q6NX49, Q8IYB9, Q8N823, Q8N8J6, Q8N7Q3, A6NNF4, P0DKX0, B4DXR9, P35789"
10950,Q01850,CDR2,4 / 716,1.5,2.0,4,False,Q01850
10951,Q9H204,MED28, / 716,0.0,,,False,Q9H204
10952,P78332,RBM6,80 / 716,2.6,17.0,80,False,P78332
10953,P02788,LTF,61 / 716,2.3,18.0,61,False,P02788
10954,Q8N104,DEFB106A, / 716,0.0,,,False,Q8N104
10955,O75509,TNFRSF21,1 / 716,1.0,1.0,1,False,O75509
10956,Q9UER7,DAXX,13 / 716,3.9,11.0,13,False,Q9UER7
10957,Q9UJY1,HSPB8,3 / 716,1.0,1.0,3,False,Q9UJY1
10958,P28223,HTR2A, / 716,0.0,,,False,P28223
10959,Q9BXJ7,AMN, / 716,0.0,,,False,Q9BXJ7
10960,Q14392,LRRC32, / 716,0.0,,,False,Q14392
10961,Q9H0B3,KIAA1683, / 716,0.0,,,False,Q9H0B3
10962,P23141,CES1,2 / 716,1.5,2.0,2,False,P23141
10963,Q5VU36,SPATA31A5, / 716,0.0,,,False,"Q5TZJ5, Q5VYP0, Q5VU36, Q5VVP1, Q8IWB4, P0DKV0, B4DYI2"
10964,P00167,CYB5A,5 / 716,1.0,1.0,5,False,P00167
10965,Q6J9G0,STYK1, / 716,0.0,,,False,Q6J9G0
10966,A8MZ97,C2ORF74, / 716,0.0,,,False,A8MZ97
10967,Q8N205,SYNE4, / 716,0.0,,,False,Q8N205
10968,Q7L513,FCRLA, / 716,0.0,,,False,Q7L513
10969,Q92750,TAF4B,32 / 716,1.4,3.0,32,False,Q92750
10970,Q9P2W3,GNG13, / 716,0.0,,,False,Q9P2W3
10971,Q8IX07,ZFPM1, / 716,0.0,,,False,Q8IX07
10972,O60716,CTNND1,99 / 716,4.0,24.0,99,False,O60716
10973,Q9Y3C1,NOP16,57 / 716,3.1,8.0,57,False,Q9Y3C1
10974,Q86YS7,C2CD5,5 / 716,1.0,1.0,5,False,Q86YS7
10975,Q9BQI0,AIF1L,37 / 716,5.9,46.0,37,False,Q9BQI0
10976,O00241,SIRPB1, / 716,0.0,,,False,"Q5TFQ8, O00241, Q9P1W8"
10977,P59540,TAS2R46, / 716,0.0,,,False,"P59542, P59543, P59541, P59538, P0DSN6, P0DTE0, P59537, P59539, P59540, P59544"
10978,Q9HBT6,CDH20, / 716,0.0,,,False,Q9HBT6
10979,P59827,BPIFB4, / 716,0.0,,,False,P59827
10980,Q5JVL4,EFHC1, / 716,0.0,,,False,Q5JVL4
10981,Q9NTI2,ATP8A2, / 716,0.0,,,False,Q9NTI2
10983,O75293,GADD45B, / 716,0.0,,,False,O75293
10984,Q9P2E7,PCDH10, / 716,0.0,,,False,Q9P2E7
10985,Q5JR12,PPM1J, / 716,0.0,,,False,Q5JR12
10986,Q9UGP8,SEC63,64 / 716,2.0,11.0,64,False,Q9UGP8
10987,Q2L4Q9,PRSS53, / 716,0.0,,,False,Q2L4Q9
10988,Q2VPJ9,LRRC75B, / 716,0.0,,,False,Q2VPJ9
10989,Q9HCH5,SYTL2,2 / 716,1.0,1.0,2,False,Q9HCH5
10990,Q9HCU4,CELSR2, / 716,0.0,,,False,Q9HCU4
10991,Q9Y6S9,RPS6KL1,1 / 716,1.0,1.0,1,False,Q9Y6S9
10992,Q9NXJ5,PGPEP1, / 716,0.0,,,False,Q9NXJ5
10993,Q13315,ATM,5 / 716,1.6,3.0,5,False,Q13315
10994,Q8NFU3,TSTD1,1 / 716,1.0,1.0,1,False,Q8NFU3
10995,A4UGR9,XIRP2,1 / 716,1.0,1.0,1,False,A4UGR9
10996,P01229,LHB, / 716,0.0,,,False,"A6NKQ9, Q6NT52, P0DN86, P0DN87, P01229"
10997,Q9NRX5,SERINC1,1 / 716,1.0,1.0,1,False,Q9NRX5
10998,Q9BSE2,TMEM79, / 716,0.0,,,False,Q9BSE2
10999,Q68CZ1,RPGRIP1L, / 716,0.0,,,False,Q68CZ1
11000,P18583,SON,219 / 716,17.4,162.0,219,True,P18583
11001,Q9GZT5,WNT10A,1 / 716,1.0,1.0,1,False,Q9GZT5
11002,Q96S44,TP53RK,7 / 716,1.0,1.0,7,False,Q96S44
11003,P61158,ACTR3,137 / 716,4.6,35.0,137,False,P61158
11004,Q9H7D0,DOCK5,2 / 716,1.0,1.0,2,False,Q9H7D0
